generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,6,135.0164,25.8080,9.4917,101,44,20.7214,50.1206,97.6808,0.1041,10.0475,29.6290,3.3671,100.5596,50.9413,145.5671
2,50,6,179.9997,27.3583,5.7000,118,44,23.8923,44.2190,95.3092,0.1012,16.1184,29.6243,13.9958,96.4821,59.3069,137.5829
3,50,18,174.9997,53.9269,33.2500,332,32,26.9130,45.6380,91.8871,0.0927,19.8491,29.6243,26.8086,77.3106,60.5097,140.6875
4,50,42,164.9997,91.7624,102.4997,643,8,27.5850,45.2854,91.7261,0.0925,24.2127,29.6243,33.0971,77.3106,68.4664,142.4843
5,50,50,144.9997,101.2997,99.9997,713,0,27.8831,46.3278,89.8509,0.0940,25.6122,30.0000,32.4568,63.7132,79.5976,99.9464
6,50,50,149.9997,100.4997,97.4997,705,0,27.9688,48.4595,91.0355,0.0977,26.3459,29.4480,38.2654,61.3951,82.0035,95.7710
7,50,50,164.9997,107.5997,107.4997,776,0,27.9369,49.2699,90.7941,0.0987,25.5983,29.6045,36.2335,61.3951,81.3375,95.6580
8,50,50,154.9997,110.2997,109.9997,803,0,28.0838,49.1276,90.0934,0.0993,25.3596,30.0000,39.7565,58.6174,83.3396,100.5634
9,50,50,154.9997,105.0997,104.9997,751,0,28.0924,46.7921,90.5658,0.0979,27.1154,29.4245,38.9410,53.8432,84.9720,101.6557
10,50,50,154.9997,111.6997,109.9997,817,0,28.1987,46.6547,90.6934,0.0974,26.8452,30.0000,39.4071,50.6549,80.2871,100.9701
11,50,50,179.9997,106.9997,99.9997,770,0,27.8476,47.4118,90.2468,0.0981,26.0691,29.3567,37.0291,54.8463,79.1847,99.0488
12,50,50,139.9997,107.0997,107.4997,771,0,27.9595,47.8199,89.3523,0.0984,26.3379,29.8162,38.0080,55.6531,80.3584,97.5372
13,50,50,144.9997,100.6997,104.9997,707,0,27.8889,48.2598,89.6573,0.0980,26.8700,29.0297,40.6568,57.7383,80.5040,97.4951
14,50,50,149.9997,106.4997,104.9997,765,0,27.8648,48.6830,88.7458,0.0975,26.1120,29.7801,40.6568,57.7383,83.2104,99.1034
15,50,50,144.9997,107.9997,109.9997,780,0,28.0122,49.0052,88.5676,0.0982,25.7387,30.0000,42.1862,55.7367,79.7261,94.5139
16,50,50,159.9997,103.9997,104.9997,740,0,28.0610,49.7925,88.7176,0.0973,26.9245,30.0000,38.9766,61.2899,81.4371,92.5968
17,50,50,144.9997,106.5997,109.9997,766,0,28.1123,51.3596,89.1727,0.0974,26.1987,29.7026,43.3081,61.2899,81.3248,92.3685
18,50,50,149.9997,111.9997,109.9997,820,0,28.2407,51.1007,89.2057,0.0986,26.8307,29.9340,39.0776,58.2542,83.7664,99.1699
19,50,50,169.9997,109.7997,107.4997,798,0,28.3111,51.0420,89.2324,0.0971,26.3769,29.7508,39.3420,56.7661,82.3925,99.2361
20,50,50,149.9997,105.9997,104.9997,760,0,28.3924,51.4783,90.6362,0.0981,26.9691,30.0000,41.6467,58.3670,83.5224,98.6024
21,50,50,154.9997,113.9997,114.9997,840,0,28.2453,51.3907,91.8252,0.0989,26.5943,30.0000,44.1584,62.9842,84.4655,100.0374
22,50,50,179.9997,115.7997,109.9997,858,0,28.5656,51.2607,89.6549,0.0998,26.3848,30.0000,41.6211,61.2448,81.6181,95.3983
23,50,50,169.9997,111.2997,107.4997,813,0,28.7274,51.6142,91.2249,0.0992,26.8365,30.0000,43.5923,62.1156,82.8051,100.2415
24,50,50,179.9997,111.9997,109.9997,820,0,28.8450,51.9787,92.1406,0.1005,26.7120,30.0000,43.2102,56.9779,83.5783,101.8471
25,50,50,154.9997,117.6997,119.9997,877,0,28.8108,52.6766,92.0376,0.1007,27.0530,29.6868,45.8300,61.2392,81.0782,100.2233
26,50,50,164.9997,117.9997,117.4997,880,0,28.8501,52.8256,89.7529,0.1010,27.1910,30.0000,39.8672,61.0330,77.5453,93.7426
27,50,50,159.9997,109.2997,109.9997,793,0,28.8548,53.3448,90.7046,0.1007,26.9936,30.0000,42.9794,66.6862,87.1136,99.7680
28,50,50,164.9997,116.4997,114.9997,865,0,28.8748,53.0266,90.1650,0.1009,27.8287,30.0000,39.7016,62.6635,81.4208,98.6165
29,50,50,169.9997,113.5997,109.9997,836,0,28.8157,53.4608,89.5347,0.1001,26.9566,30.0000,43.4216,63.7476,81.2165,99.1598
30,50,50,154.9997,106.0997,99.9997,761,0,28.9390,54.3592,89.7816,0.1010,27.8298,30.0000,46.4187,64.6559,81.3887,95.8007
