generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,150.0164,25.6056,6.8500,97,45,20.7757,47.8158,106.3999,0.0998,10.7645,29.4142,2.2350,95.1572,59.1500,148.0337
2,50,7,184.9997,35.9819,8.3000,192,43,24.6143,41.5127,106.2062,0.0928,14.0482,29.4142,12.6447,76.4960,70.6061,139.2417
3,50,5,244.9997,31.0086,11.0000,148,45,26.5290,46.2329,103.5350,0.0984,20.9339,29.4142,24.2734,72.1354,79.2133,125.2683
4,50,17,214.9997,67.3559,58.0833,442,33,27.7692,49.6612,106.1267,0.1106,24.8201,29.7574,33.0130,74.4583,94.5540,116.7677
5,50,34,199.9997,93.1258,104.9997,667,16,28.3087,52.5027,106.9802,0.1161,26.5035,30.0000,38.8465,72.1354,99.9440,116.7677
6,50,47,154.9997,114.4000,117.4997,855,3,28.4983,54.8234,109.0185,0.1183,26.4859,29.9786,39.1799,72.1354,101.1504,115.3634
7,50,50,159.9997,124.2997,119.9997,943,0,28.8324,56.0797,108.4315,0.1216,27.2626,30.0000,44.3358,72.1354,99.9435,115.4549
8,50,50,174.9997,121.3997,119.9997,914,0,29.0014,54.7426,109.2093,0.1211,27.1186,30.0000,48.1691,67.7278,99.9435,116.0062
9,50,50,169.9997,124.0997,124.9997,941,0,29.0303,55.1814,109.5607,0.1203,26.7876,30.0000,46.4109,64.0971,102.9971,117.0229
10,50,50,164.9997,123.9997,122.4997,940,0,28.9601,55.6777,109.2144,0.1181,27.7963,30.0000,47.4250,65.5253,100.4471,117.1590
11,50,50,194.9997,121.6997,119.9997,917,0,29.0148,55.8672,108.7323,0.1191,26.8647,30.0000,48.7018,67.6552,102.6417,115.8922
12,50,50,164.9997,121.7997,124.9997,918,0,28.8174,55.3138,108.9788,0.1190,26.6012,30.0000,51.1284,58.8124,101.0739,116.6849
13,50,50,189.9997,122.0997,119.9997,921,0,28.8835,56.3352,107.8675,0.1199,27.2157,30.0000,46.2402,65.9009,95.2562,114.0433
14,50,50,199.9997,120.3997,114.9997,904,0,28.7436,57.1090,107.4472,0.1204,26.2158,29.7430,50.4988,64.0179,98.8227,118.6633
15,50,50,169.9997,120.9997,119.9997,910,0,28.7124,57.5525,108.2074,0.1220,26.2158,30.0000,48.1164,64.1051,101.3367,120.8376
16,50,50,199.9997,121.0997,119.9997,911,0,28.9201,57.3901,108.3768,0.1228,27.5331,30.0000,48.5355,65.2689,101.6027,112.6514
17,50,50,174.9997,126.1997,124.9997,962,0,28.8418,56.7823,108.5682,0.1222,27.4195,30.0000,43.4823,62.0019,97.0220,114.3025
18,50,50,169.9997,126.0997,124.9997,961,0,28.9063,57.2693,109.1173,0.1227,27.4990,30.0000,49.7274,62.8542,99.3349,118.8001
19,50,50,184.9997,127.0997,124.9997,971,0,29.0092,57.0278,109.8013,0.1236,28.2061,30.0000,49.7274,63.5803,103.9796,118.8501
20,50,50,164.9997,126.2997,124.9997,963,0,29.1119,55.9378,109.6624,0.1235,27.0933,30.0000,47.2110,61.6377,100.5940,118.8777
21,50,50,174.9997,119.5997,114.9997,896,0,28.9610,56.1414,109.9620,0.1234,26.6823,29.7660,49.4122,64.6501,101.7475,123.4274
22,50,50,204.9997,124.6997,122.4997,947,0,29.1382,55.4667,110.7822,0.1232,27.4850,30.0000,45.7959,61.3650,95.9865,120.2765
23,50,50,164.9997,126.5997,119.9997,966,0,29.1459,55.5954,110.5654,0.1232,27.0773,29.9820,46.7733,61.9740,106.2278,123.1132
24,50,50,159.9997,124.0997,122.4997,941,0,29.2846,54.9298,111.2775,0.1230,28.3228,30.0000,41.6440,57.9599,103.1668,123.1132
25,50,50,159.9997,122.0997,124.9997,921,0,29.1980,55.6010,111.4265,0.1234,27.8160,30.0000,48.1712,65.1918,100.9044,118.0920
26,50,50,169.9997,119.4997,117.4997,895,0,29.1929,56.1050,110.1460,0.1222,27.8231,30.0000,46.5034,68.4770,103.7906,117.7159
27,50,50,189.9997,123.2997,119.9997,933,0,29.1648,56.8749,110.3539,0.1228,27.6050,30.0000,46.1708,64.0431,101.1942,118.1159
28,50,50,174.9997,113.8997,109.9997,839,0,28.9996,56.8697,110.3771,0.1227,27.4061,30.0000,49.0945,64.9022,102.4363,120.6480
29,50,50,159.9997,128.3997,132.4997,984,0,29.1690,58.0005,111.0648,0.1230,28.5157,30.0000,48.8723,68.7892,105.7913,122.4553
30,50,50,184.9997,119.1997,114.9997,892,0,29.0682,58.7263,110.2141,0.1238,27.8930,30.0000,49.4010,67.1908,97.5576,116.7305
