generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,125.0164,21.5643,6.1167,76,43,19.3969,53.2703,106.6728,0.0922,10.4323,29.8102,3.0294,100.3237,52.2086,147.4975
2,50,9,189.9997,41.8186,12.6833,246,37,23.9593,48.3256,96.8569,0.0961,15.1326,29.0057,2.2694,97.7120,53.9035,146.7311
3,50,36,189.9997,100.6018,114.9997,743,13,25.9230,49.3055,85.1655,0.1042,22.5620,28.4744,20.5606,92.3767,58.2503,115.8944
4,50,49,199.9997,142.3130,144.9997,1122,1,26.2943,50.8138,83.9142,0.1051,24.1580,29.4943,31.3314,67.4153,66.4138,110.3204
5,50,50,179.9997,143.1996,144.9997,1132,0,25.8614,54.1606,84.5583,0.1051,24.2579,28.3538,36.0048,66.4568,67.6761,107.1858
6,50,50,199.9997,152.1996,149.9997,1222,0,25.5759,57.3860,87.7396,0.1048,22.7292,28.1984,42.9032,73.1894,75.7544,100.6241
7,50,50,209.9997,150.9996,144.9997,1210,0,25.5748,58.4622,89.2016,0.1053,23.4444,27.2295,47.4644,74.4273,78.8915,100.6241
8,50,50,214.9997,147.6996,149.9997,1177,0,25.4521,59.6206,90.0741,0.1040,23.3967,27.4813,54.4801,71.0659,78.8423,100.1956
9,50,50,199.9997,152.0996,149.9997,1221,0,25.5645,59.0309,89.3307,0.1043,22.9335,26.8736,49.5963,67.1454,75.0896,95.5813
10,50,50,189.9997,147.9996,144.9997,1180,0,25.4919,59.7063,90.9962,0.1051,23.6082,26.9290,53.0629,68.1843,83.2689,104.0303
11,50,50,184.9997,153.7996,154.9997,1238,0,25.5308,60.5248,89.8206,0.1050,24.0562,27.2673,54.0486,66.0570,81.2700,97.8944
12,50,50,199.9997,151.1996,154.9997,1212,0,25.5003,60.9208,89.4280,0.1056,24.1930,27.4246,52.7642,69.3347,83.0643,91.9485
13,50,50,184.9997,152.2996,154.9997,1223,0,25.6263,60.5972,89.6261,0.1049,24.3729,26.6289,55.0947,69.9137,83.3245,94.4100
14,50,50,194.9997,150.3996,149.9997,1204,0,25.5763,60.9542,89.5100,0.1039,23.1497,27.8203,51.3539,66.2890,85.3653,99.0531
15,50,50,199.9997,148.5996,149.9997,1186,0,25.4940,61.4409,89.9319,0.1046,22.4384,27.8203,53.8885,70.5741,85.2112,105.8553
16,50,50,199.9997,148.9996,144.9997,1190,0,25.5912,61.5045,91.1041,0.1047,24.0286,27.6979,52.4596,74.9344,84.9323,105.3489
17,50,50,194.9997,154.8996,154.9997,1249,0,25.6476,61.7750,91.1141,0.1043,24.3609,26.9427,51.4143,74.9344,83.8778,101.6355
18,50,50,199.9997,158.2996,159.9997,1283,0,25.6573,62.3772,92.4842,0.1045,24.4364,26.4251,51.7587,72.6788,81.8782,103.7230
19,50,50,194.9997,155.6996,159.9997,1257,0,25.6621,63.2590,92.7497,0.1045,23.2736,27.4879,56.1286,68.7289,87.2220,103.4080
20,50,50,204.9997,158.3996,159.9997,1284,0,25.8066,63.6351,92.2152,0.1046,23.6994,27.1184,56.0545,76.0550,82.1028,102.1226
21,50,50,194.9997,148.1996,149.9997,1182,0,25.7913,63.6680,91.5129,0.1049,24.6992,27.4784,53.4266,79.3439,81.0454,98.0308
22,50,50,204.9997,150.3996,149.9997,1204,0,25.7301,62.6040,91.4202,0.1050,24.7832,27.5077,53.0155,70.2745,82.5370,96.3965
23,50,50,224.9997,159.5996,159.9997,1296,0,25.9970,62.9873,91.7147,0.1056,24.4855,28.5366,57.2759,69.6513,82.2276,97.1362
24,50,50,214.9997,165.7996,164.9997,1358,0,26.2764,62.0278,92.7080,0.1057,24.4246,28.7429,53.2386,68.6898,85.6023,102.0462
25,50,50,194.9997,157.6996,154.9997,1277,0,26.4732,61.9934,93.7472,0.1061,25.0127,28.2984,57.2123,68.8930,84.5653,107.1541
26,50,50,234.9997,167.2997,164.9997,1373,0,26.6494,62.2115,94.3741,0.1060,25.3092,28.9221,54.0751,72.5856,88.9754,102.7098
27,50,50,224.9997,164.6996,167.4997,1347,0,27.0479,61.2214,95.3763,0.1072,25.7150,28.6027,51.7130,67.5830,87.9009,101.1144
28,50,50,229.9997,162.4996,162.4997,1325,0,26.9039,62.8896,94.9818,0.1064,25.4363,28.7191,57.0701,74.3247,85.4641,103.8436
29,50,50,229.9997,167.8996,169.9997,1379,0,27.1971,63.6053,94.5295,0.1066,25.4952,28.5800,53.2834,71.8024,89.0114,101.1766
30,50,50,229.9997,170.6996,174.9997,1407,0,27.1472,64.0947,94.6255,0.1067,26.4048,28.2172,60.2179,71.8024,87.4426,102.8580
