generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,145.7833,24.7300,11.2000,103,46,18.6693,50.0896,95.9215,0.1050,10.0987,29.3073,4.9276,101.5884,51.6678,143.9263
2,50,6,169.9997,30.2920,11.5667,155,42,23.6288,50.0193,97.2608,0.1017,17.1234,30.0000,11.4297,98.6052,63.7639,140.4680
3,50,25,179.9997,65.8275,74.9997,441,25,25.6926,48.6963,99.9456,0.1046,20.4840,29.7392,12.0182,78.8078,74.5278,126.7715
4,50,48,184.9997,125.1547,124.9997,951,2,26.9005,48.3609,101.6567,0.1033,21.5124,29.3203,25.9787,78.1875,87.9290,117.8543
5,50,50,194.9997,136.4996,134.9997,1065,0,27.3444,51.1452,102.6030,0.1020,25.6431,28.7712,36.5390,72.9605,85.8600,114.0361
6,50,50,194.9997,139.9996,139.9997,1100,0,27.4699,52.5246,101.5739,0.1016,25.5306,29.9465,42.4095,72.9605,91.9525,109.6292
7,50,50,199.9997,135.8996,134.9997,1059,0,27.5697,52.6514,101.5201,0.1009,25.5947,29.6539,40.2463,63.6561,95.1288,109.2397
8,50,50,169.9997,138.3996,139.9997,1084,0,27.8904,52.4284,101.3782,0.1013,27.0155,29.4148,45.7521,64.0449,93.4219,110.7502
9,50,50,189.9997,144.2996,139.9997,1143,0,28.1967,52.2950,101.1431,0.1019,26.4000,30.0000,43.9698,64.7178,93.5438,110.8565
10,50,50,174.9997,140.1996,139.9997,1102,0,28.1926,53.5627,101.6285,0.1035,26.0708,29.6326,43.0230,61.7989,95.4386,107.3799
11,50,50,189.9997,147.6996,149.9997,1177,0,28.1845,54.5843,101.6471,0.1023,26.1355,30.0000,43.0230,67.1079,94.3573,110.8978
12,50,50,179.9997,143.4996,144.9997,1135,0,28.4761,53.9587,101.9527,0.1030,27.2283,30.0000,41.5216,60.5902,95.6134,106.3238
13,50,50,219.9997,149.3996,147.4997,1194,0,28.4654,54.9352,101.0801,0.1018,26.7065,29.9387,50.5430,65.4686,92.7415,110.3644
14,50,50,189.9997,147.5996,144.9997,1176,0,28.5314,55.3345,101.9248,0.1020,27.9701,29.5407,45.2530,63.8244,92.0436,115.2773
15,50,50,189.9997,139.3996,139.9997,1094,0,28.3878,56.0466,101.8794,0.1025,26.4003,29.9677,50.6263,67.4193,90.7809,108.8666
16,50,50,189.9997,149.3996,149.9997,1194,0,28.3839,56.2717,101.1338,0.1028,26.4801,29.3711,46.6043,64.2505,93.8538,106.2615
17,50,50,194.9997,147.1996,149.9997,1172,0,28.4900,56.9483,101.2071,0.1030,27.0800,29.9301,52.3758,66.7642,96.0938,106.1097
18,50,50,184.9997,145.9996,144.9997,1160,0,28.3859,57.7847,100.7425,0.1031,27.1461,30.0000,53.3408,67.3842,89.7954,104.0989
19,50,50,184.9997,144.1996,147.4997,1142,0,28.3751,57.2748,100.3750,0.1029,26.7220,29.8022,45.4554,68.6351,89.5169,110.5340
20,50,50,189.9997,145.6996,144.9997,1157,0,28.3820,57.6805,99.8491,0.1020,26.6853,30.0000,51.3835,68.1162,90.7473,108.8293
21,50,50,189.9997,146.6996,149.9997,1167,0,28.5227,57.7935,99.2847,0.1019,26.9732,30.0000,51.1057,65.0463,86.6484,108.2875
22,50,50,194.9997,153.6996,154.9997,1237,0,28.6465,58.7680,98.7404,0.1021,27.5641,30.0000,49.5847,65.5113,89.9947,106.3372
23,50,50,209.9997,152.4996,149.9997,1225,0,28.7639,58.6986,98.2182,0.1018,27.7788,30.0000,50.6030,63.3364,86.7064,110.8457
24,50,49,194.9997,138.8543,139.9997,1090,0,28.7114,58.7687,98.0755,0.1023,26.9439,30.0000,48.3474,67.7630,88.6136,111.0453
25,50,50,184.9997,146.8996,149.9997,1169,0,28.7608,59.9115,96.8372,0.1016,27.7401,30.0000,53.6782,67.4808,86.0898,105.9864
26,50,50,199.9997,150.1996,147.4997,1202,0,28.8406,60.4446,98.1660,0.1015,27.9447,30.0000,51.6469,67.4808,86.9278,104.6790
27,50,50,184.9997,153.8996,154.9997,1239,0,28.8326,60.1026,98.3619,0.1008,27.0758,30.0000,50.5032,69.5529,89.8373,107.9240
28,50,50,209.9997,152.5996,149.9997,1226,0,29.0880,60.8715,98.0573,0.1006,28.0582,30.0000,52.6904,65.6998,92.3992,109.9801
29,50,50,224.9997,149.7996,144.9997,1198,0,28.9626,61.4399,97.7367,0.1003,27.1709,30.0000,55.0068,70.2283,91.7008,106.5704
30,50,50,194.9997,154.8996,154.9997,1249,0,29.0425,61.3499,98.0931,0.1008,27.3275,30.0000,53.3741,65.7507,93.5761,104.9465
