run,seed,mean_best,median_best,mean_survivors,food_total,predation_total,nonextinct_generations,final_size_mean,final_size_min,final_size_max,first_size_boundary,final_speed_mean,final_speed_min,final_speed_max,first_speed_boundary,final_vision_mean,final_vision_min,final_vision_max,first_vision_boundary
ratio,44,176.66692333333333,177.4997,47.8,27059.0,58.0,30,27.5855,26.3302,29.608,none,70.9847,66.3685,81.6127,none,99.7416,89.8419,106.5577,none
ratio,45,187.16692333333333,189.9997,47.36666666666667,29029.0,52.0,30,27.9398,26.3783,30.0,5,79.867,71.1969,91.231,none,95.4789,84.838,102.3572,none
ratio,46,159.33359,159.9997,47.7,23777.0,31.0,30,26.7746,25.1917,27.9941,none,61.1029,56.5499,70.7192,none,96.6748,87.3058,105.0449,none
ratio,47,172.66692333333333,174.9997,47.733333333333334,25609.0,53.0,30,27.8584,26.1341,29.1885,26,67.3897,60.2796,77.8742,none,100.3313,93.9805,112.6695,none
ratio,48,173.50025666666664,174.9997,48.266666666666666,26698.0,36.0,30,29.3705,28.5536,30.0,2,62.177,53.5325,65.4451,none,99.247,90.1424,112.0847,none
ratio,49,175.66692333333333,177.4997,47.8,26790.0,52.0,30,28.2412,27.2491,30.0,5,69.2007,61.8612,77.0334,none,111.7312,105.4613,119.0772,none
ratio,50,160.00025666666664,162.4997,48.03333333333333,24009.0,41.0,30,27.6172,26.1082,29.2887,none,59.023,52.2183,67.6247,none,92.221,83.4188,106.9352,none
ratio,51,168.00025666666664,174.9997,47.5,26834.0,52.0,30,25.9968,24.7745,26.7201,none,76.5224,65.6446,81.5741,none,100.3968,91.0817,108.8122,none
tradeoff,42,124.71248,119.9997,31.8,12610.0,48.0,30,24.8613,23.252,26.986,none,64.4405,56.263,75.962,none,99.5817,92.4115,106.9625,none
tradeoff,43,130.00025666666667,129.9997,32.93333333333333,13298.0,51.0,30,28.4998,26.9341,30.0,2,51.202,39.3687,57.9454,none,93.6674,83.425,103.508,none
tradeoff,44,124.00025666666667,124.9997,31.166666666666668,11952.0,51.0,30,25.3787,24.184,26.6549,2,52.6067,44.8543,62.8977,none,104.2022,95.0367,112.0074,none
tradeoff,45,129.96248,129.9997,33.5,13459.0,49.0,30,28.1868,25.8952,29.7823,2,50.1508,41.2496,56.9037,none,99.6593,93.6133,106.4469,none
tradeoff,46,128.16692333333333,124.9997,34.233333333333334,13857.0,34.0,30,28.8856,26.9307,30.0,5,58.22,49.4798,62.393,none,95.9514,87.3604,106.6269,none
tradeoff,47,132.83359,129.9997,33.333333333333336,14425.0,48.0,30,28.278,27.2981,30.0,7,71.9468,62.3435,80.5285,none,112.1035,103.5269,122.9663,none
tradeoff,48,119.16692333333333,117.4997,31.033333333333335,11794.0,45.0,30,24.8407,22.778,26.8788,none,53.5981,41.2893,61.4005,none,99.3462,92.9189,105.9809,none
tradeoff,49,137.66692333333333,137.4997,33.56666666666667,13728.0,52.0,30,26.084,23.4341,28.3417,2,71.7514,65.0302,84.6239,none,100.9503,96.8713,109.9258,none
tradeoff,50,127.00025666666667,124.9997,32.4,13250.0,38.0,30,27.7067,26.9562,29.4089,2,56.176,48.2829,66.0315,none,102.1575,96.0766,109.877,3
tradeoff,51,126.83359,127.49969999999999,31.266666666666666,13139.0,68.0,30,26.9402,25.6906,28.3188,3,67.1441,60.2603,75.5605,none,89.0607,82.6189,99.7746,none
