generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,165.0164,23.6996,7.1667,88,43,19.3969,53.2703,106.6728,0.0922,10.4323,29.8102,3.0294,100.3237,52.2086,147.4975
2,50,12,149.9997,44.0793,23.8833,254,37,23.5165,52.2527,95.9184,0.1003,15.1764,28.9629,4.4010,92.3767,55.2868,147.5345
3,50,39,169.9997,90.0591,99.9997,630,11,24.9037,52.2415,87.4019,0.1054,19.2788,28.5607,14.8304,92.3767,57.9958,126.6866
4,50,49,164.9997,102.4320,99.9997,725,1,24.6791,53.9286,88.1462,0.1040,21.1230,28.8814,28.0550,86.7593,60.8945,130.3336
5,50,50,159.9997,113.8997,119.9997,839,0,24.6984,59.9718,89.8917,0.1051,21.3344,27.8613,31.4852,76.1569,60.8475,113.9384
6,50,50,169.9997,115.3997,114.9997,854,0,24.3119,65.5844,94.6478,0.1029,21.7922,26.6986,54.8862,73.3002,82.7857,107.6013
7,50,50,159.9997,123.6997,127.4997,937,0,24.6445,66.3594,93.8422,0.1036,22.0262,26.3821,55.8759,78.2799,83.1909,103.2317
8,50,50,174.9997,125.9997,124.9997,960,0,24.9805,66.7301,93.2765,0.1046,23.1196,26.6228,60.6282,74.0923,85.5549,103.1593
9,50,50,164.9997,121.8997,119.9997,919,0,25.0575,67.3894,92.3562,0.1045,22.4261,27.0166,55.0753,74.8336,85.5549,99.1076
10,50,50,159.9997,123.6997,119.9997,937,0,24.9195,66.9575,92.5545,0.1058,23.0695,26.9957,58.2256,71.0596,84.7810,101.3723
11,50,50,164.9997,122.3997,119.9997,924,0,24.8159,66.0819,91.7373,0.1064,23.0985,26.2065,60.3911,70.4765,82.6924,101.9214
12,50,50,174.9997,127.8997,124.9997,979,0,24.8706,66.0751,92.2066,0.1067,23.2528,26.5470,56.8541,74.1300,86.6227,97.6522
13,50,50,174.9997,119.0997,114.9997,891,0,24.7536,66.3058,92.0430,0.1071,22.9426,26.0494,56.6830,72.5228,83.4352,100.9565
14,50,50,169.9997,127.7997,124.9997,978,0,24.8679,67.0865,91.5287,0.1080,23.7159,26.7524,59.1363,78.0662,84.8120,101.3203
15,50,50,184.9997,126.9997,124.9997,970,0,24.8066,69.1788,91.5496,0.1077,23.3235,26.0759,61.0763,81.0224,82.3392,99.4960
16,50,50,174.9997,128.0997,124.9997,981,0,24.8833,69.7163,90.4375,0.1070,22.8219,26.9815,57.2249,82.5939,85.8415,96.1936
17,50,50,199.9997,128.2997,124.9997,983,0,24.9028,71.7365,89.9145,0.1077,23.4448,26.8482,63.3234,85.8903,80.8833,94.4405
18,50,50,214.9997,129.6997,124.9997,997,0,25.1099,73.7852,90.5263,0.1091,23.6186,27.5091,66.9548,89.0036,83.2019,101.4574
19,50,50,179.9997,132.9996,132.4997,1030,0,25.2483,74.0496,89.9056,0.1083,24.0327,27.3735,64.3147,85.4029,80.3435,96.8450
20,50,50,184.9997,131.5997,129.9997,1016,0,25.3629,74.6903,89.5199,0.1087,24.5308,26.6296,67.6409,80.6982,80.3435,98.1582
21,50,50,194.9997,133.0997,129.9997,1031,0,25.4858,75.0218,88.7697,0.1085,23.8396,26.9742,70.6298,81.9947,80.0341,94.5950
22,50,50,184.9997,126.3997,124.9997,964,0,25.6333,74.6963,88.1117,0.1083,24.6218,26.9315,65.8928,83.9781,77.2327,97.2654
23,50,50,179.9997,131.3997,129.9997,1014,0,25.6851,73.9859,88.8914,0.1084,24.5079,27.1274,65.2799,79.8748,78.6293,99.5188
24,50,50,199.9997,134.0997,129.9997,1041,0,25.7801,74.5147,87.7094,0.1085,24.7112,27.2352,67.4276,81.9037,78.6293,95.7459
25,50,50,174.9997,133.0997,129.9997,1031,0,25.5926,75.8595,87.2599,0.1078,23.5479,27.2767,65.2028,82.0056,78.6293,97.4880
26,50,50,189.9997,133.2997,129.9997,1033,0,26.0293,75.7150,86.2665,0.1086,24.0427,28.5839,67.3943,86.9312,80.8182,93.1518
27,50,50,179.9997,138.4997,139.9997,1085,0,26.1136,75.5783,86.4186,0.1086,23.9564,28.2408,67.0984,82.4109,80.4849,91.7797
28,50,50,209.9997,132.8997,129.9997,1029,0,26.2898,74.9808,85.8342,0.1086,24.8113,28.1652,67.0608,83.7564,79.6856,92.9477
29,50,50,204.9997,143.3996,139.9997,1134,0,26.7239,75.8301,85.5702,0.1084,24.7114,28.7661,67.8266,87.1249,75.4929,90.4503
30,50,50,184.9997,137.8996,134.9997,1079,0,27.0273,76.2261,85.7884,0.1089,26.2419,28.1652,65.2726,83.8972,81.7593,94.5090
