generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,8,140.0164,30.6409,15.6667,137,31,19.9205,49.0426,101.0863,0.0966,10.0325,29.5934,3.1610,98.7644,51.5889,148.7978
2,50,16,129.9997,47.5769,47.6748,254,17,24.1948,60.7639,109.9733,0.1005,14.9129,29.4352,26.7358,98.2638,65.5767,146.4824
3,50,21,99.9997,62.2045,68.6498,362,0,26.6952,66.9127,110.1050,0.1024,22.0291,29.4352,26.7358,93.6761,67.9496,144.3523
4,50,32,114.9997,71.4748,78.5331,452,0,26.4851,72.0134,115.2647,0.1014,23.5998,28.7835,51.5550,93.6761,89.7479,141.2497
5,50,35,129.9997,79.1488,84.9997,517,0,26.4692,69.9475,115.1452,0.1037,24.5012,28.7835,54.6490,88.4775,89.7479,129.7348
6,50,37,124.9997,78.4784,84.9997,501,0,26.7538,71.0803,113.8027,0.1031,25.7829,29.3166,57.3223,86.5702,100.7553,132.4773
7,50,32,119.9997,74.4998,79.9997,471,0,27.1151,72.1708,114.7915,0.1013,25.6354,30.0000,62.2178,83.8825,100.7553,123.4506
8,50,36,139.9997,78.4031,84.9997,510,0,27.1776,72.5614,116.0081,0.1019,26.1637,29.2372,55.9939,87.1780,104.6711,127.4781
9,50,32,149.9997,75.4861,74.9997,482,0,27.1805,73.4588,115.6297,0.1025,26.1831,28.6062,66.9734,82.0017,106.1691,126.8148
10,50,36,139.9997,78.5201,79.9997,506,0,27.1139,72.7590,115.2140,0.1014,25.6693,29.0585,65.5368,80.4940,108.0603,125.1798
11,50,39,124.9997,76.7288,74.9997,483,0,27.2720,72.9467,114.6157,0.1014,25.3561,28.9098,63.0330,79.9973,106.5423,122.3176
12,50,43,129.9997,88.7104,92.4997,601,0,27.3020,73.3315,114.6941,0.1017,25.0587,28.9097,66.0105,78.5871,103.3655,124.2878
13,50,30,134.9997,71.7405,74.9997,458,0,27.3274,73.5117,115.1461,0.1017,24.9568,28.4850,64.2160,86.0206,110.2643,126.8520
14,50,33,124.9997,79.2448,82.4997,519,0,27.2309,74.1706,114.7463,0.1009,24.8126,28.8347,64.1021,83.3430,104.5798,124.0714
15,50,36,144.9997,80.7921,84.3998,534,0,27.4484,74.6363,114.9852,0.1013,24.8534,29.6897,65.2852,83.6420,104.1452,125.5385
16,50,41,154.9997,86.0234,89.9997,579,0,27.3792,74.6254,114.7319,0.1008,25.8176,28.5654,68.9384,81.5772,105.5302,122.4453
17,50,34,124.9997,78.0818,84.9747,504,0,27.3884,75.2074,115.2589,0.1013,25.7300,29.0793,67.8841,80.2041,107.0733,124.7671
18,50,35,124.9997,75.6398,74.9997,482,0,27.2765,74.5926,114.7042,0.1013,25.3791,28.9846,63.5250,86.8922,110.2422,122.6329
19,50,33,134.9997,75.2931,79.9997,482,0,26.9788,74.4887,115.2691,0.1013,25.2075,28.8657,66.6313,87.1679,105.8409,123.4262
20,50,35,174.9997,79.3825,79.9997,522,0,26.9292,73.6521,114.8868,0.1010,24.4809,28.9104,65.9341,86.7280,107.1865,123.1727
21,50,35,114.9997,74.5924,74.9997,467,0,27.2054,73.4746,114.6350,0.1008,25.5394,28.9266,61.2671,83.6511,107.2631,122.2211
22,50,35,134.9997,83.8368,84.9997,561,0,27.4919,73.1892,114.5840,0.1009,26.1046,29.5422,63.1367,84.8694,106.2280,121.2516
23,50,39,129.9997,81.5891,79.9997,537,0,27.8191,72.7679,113.4961,0.1007,25.5449,30.0000,58.6232,81.5902,105.3694,124.5578
24,50,40,124.9997,80.0431,82.4997,519,0,27.7220,72.2063,113.4979,0.1009,26.0182,30.0000,62.5992,80.1816,102.4600,122.5667
25,50,33,114.9997,73.4565,79.9997,466,0,27.8826,72.0346,112.2912,0.1013,25.0210,29.8039,63.9555,84.4978,98.5092,122.9214
26,50,36,149.9997,81.5078,84.9997,535,0,27.9942,71.9568,112.4841,0.1007,26.3841,30.0000,62.6348,82.9232,104.9151,119.2988
27,50,35,149.9997,80.5494,79.9997,529,0,27.9161,72.1129,112.4535,0.1006,26.1625,29.0685,63.5298,79.4595,104.1219,119.6832
28,50,32,114.9997,72.8648,72.4997,455,0,28.1396,72.0059,112.1004,0.1005,26.1866,29.4977,61.2861,79.1386,103.1035,115.3177
29,50,34,139.9997,77.3374,79.9997,503,0,28.2207,72.3129,112.0322,0.0998,26.2789,29.6620,62.9911,85.4473,103.2466,121.6235
30,50,37,144.9997,77.3451,79.9997,497,0,28.2780,71.9468,112.1035,0.0996,27.2981,30.0000,62.3435,80.5285,103.5269,122.9663
