generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,6,111.3831,31.5533,22.0000,132,32,19.3969,53.2703,106.6728,0.0922,10.4323,29.8102,3.0294,100.3237,52.2086,147.4975
2,50,16,119.9997,51.4149,52.3665,284,16,22.9498,57.7439,99.5108,0.0946,10.7058,28.9629,12.9858,95.2840,58.9187,144.9944
3,50,29,124.9997,63.1845,69.9997,374,0,24.8409,67.8944,94.8063,0.0984,20.6593,28.9324,38.0966,97.7984,61.3205,131.0579
4,50,36,119.9997,69.1371,69.9997,416,0,24.0338,67.0658,97.7647,0.0989,20.8956,27.0330,43.6009,93.0754,77.4710,119.6495
5,50,39,104.9997,71.6871,74.9997,438,0,24.6685,66.7139,96.1131,0.0995,22.2746,27.1622,49.6613,85.3779,80.7876,114.6724
6,50,30,139.9997,66.5831,64.9997,396,0,24.6437,66.5202,99.0654,0.0999,22.9373,26.8564,55.5156,80.4862,85.5130,114.6724
7,50,38,124.9997,77.2104,79.9997,489,0,24.6484,65.4882,101.1913,0.0981,23.5066,26.8564,57.3262,76.1898,91.8215,110.8069
8,50,31,129.9997,65.5101,64.9997,393,0,24.6890,65.3890,99.9757,0.0979,23.0454,27.1034,57.5635,80.7567,88.1777,111.6096
9,50,35,134.9997,75.5354,74.9997,472,0,24.9087,64.9107,100.8924,0.0974,23.4431,26.1339,60.2060,74.5991,92.8069,108.2304
10,50,36,129.9997,73.3798,79.9997,459,0,25.0137,64.5574,101.6685,0.0972,23.6129,27.0048,55.6226,72.8384,97.6251,108.7509
11,50,35,119.9997,70.3858,74.9997,431,0,24.9341,65.4964,100.5413,0.0974,22.6828,27.1580,59.1700,75.0794,92.1405,109.1626
12,50,37,124.9997,75.7074,79.9997,474,0,25.1352,64.9752,100.5404,0.0976,23.6575,26.4713,56.7099,76.7868,95.0932,105.9343
13,50,30,119.9997,67.0675,69.9997,404,0,24.9378,65.5756,100.5415,0.0972,23.6575,25.5719,56.2957,76.3462,96.5196,107.4743
14,50,29,109.9997,67.6835,69.9997,414,0,24.8485,66.5507,100.6519,0.0976,23.0638,26.2635,59.6563,79.5483,94.3863,108.5104
15,50,33,114.9997,66.9551,74.9997,405,0,24.8278,65.3473,99.7860,0.0970,23.3221,26.0252,58.2930,70.1840,93.7373,108.7612
16,50,38,149.9997,77.0674,79.9997,493,0,24.6842,65.7682,99.9727,0.0973,22.2966,26.4882,57.5537,74.7821,92.9581,108.5415
17,50,31,139.9997,74.1421,74.9997,472,0,24.6589,65.8674,100.1460,0.0978,22.5533,26.4787,61.3558,73.6701,97.0615,104.4455
18,50,32,109.9997,72.3234,74.9997,450,0,24.5778,66.5085,99.7710,0.0992,23.0750,26.3262,61.8743,76.1987,90.5754,107.1628
19,50,31,134.9997,68.2628,69.9997,411,0,24.6741,65.7682,98.6954,0.0985,23.3961,26.4750,56.6710,71.9051,90.1635,105.9119
20,50,37,119.9997,74.8598,74.9997,472,0,24.6380,65.7345,97.7290,0.0987,22.8198,26.0810,56.6710,75.3226,91.3067,103.8691
21,50,35,114.9997,76.8728,79.9997,488,0,24.5526,65.7686,97.5720,0.0982,22.8666,26.0625,56.6663,76.8344,89.9498,105.3327
22,50,38,139.9997,77.8634,79.9997,501,0,24.7053,66.3910,97.8286,0.0970,23.1634,26.3992,62.9519,78.6565,87.8419,105.0679
23,50,33,109.9997,66.8375,69.9997,404,0,24.6537,65.8411,98.4990,0.0959,23.3627,26.1293,55.5896,73.5051,92.0377,101.4087
24,50,35,174.9997,77.1184,74.9997,493,0,24.6188,66.5069,98.7814,0.0950,22.3684,26.9140,61.0969,72.0411,90.9885,106.2504
25,50,33,109.9997,70.0051,74.9997,425,0,24.6407,66.4708,99.4531,0.0955,22.7662,25.8332,62.4876,76.7891,92.1443,108.1805
26,50,34,124.9997,70.1835,74.9997,439,0,24.6650,65.9752,99.9910,0.0954,22.5631,26.4366,54.9658,69.8975,93.4331,111.4628
27,50,26,129.9997,62.9981,66.9331,372,0,24.7498,65.0847,99.3954,0.0953,23.1946,26.7806,57.0079,73.9471,89.3743,106.1559
28,50,34,109.9997,70.8381,74.9497,429,0,24.7981,65.0439,99.2462,0.0947,23.2982,26.4839,58.3968,75.8686,88.0263,109.3245
29,50,26,119.9997,61.5868,59.9997,362,0,24.7091,64.4239,98.9260,0.0950,22.9746,26.4839,55.1323,73.6245,91.7039,107.7400
30,50,31,119.9997,68.9138,72.4997,418,0,24.8613,64.4405,99.5817,0.0951,23.2520,26.9860,56.2630,75.9620,92.4115,106.9625
