generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,162.8331,25.4373,6.0833,102,44,19.3969,53.2703,106.6728,0.0922,10.4323,29.8102,3.0294,100.3237,52.2086,147.4975
2,50,7,154.9997,31.7783,13.1000,158,43,23.7427,56.0515,96.0591,0.0979,15.9636,29.0700,2.2694,94.5006,56.4567,144.7039
3,50,34,164.9997,80.6955,97.7081,555,16,25.6631,52.8915,91.2214,0.1026,20.1293,29.0700,25.8403,94.5006,70.1050,123.1420
4,50,48,179.9997,112.6484,112.4997,833,2,26.5997,53.4538,89.5674,0.1088,23.2387,29.7433,27.2763,77.5335,74.0219,112.5514
5,50,50,184.9997,113.2997,109.9997,833,0,26.7496,55.1342,86.4590,0.1116,23.8557,29.3695,35.6014,71.3762,77.8445,101.7410
6,50,50,224.9997,117.6997,114.9997,877,0,26.2471,59.3823,88.0155,0.1104,23.9533,29.2139,42.1015,72.9133,78.3169,103.4253
7,50,50,179.9997,111.2997,109.9997,813,0,26.7065,56.2196,88.7171,0.1142,23.9890,28.5469,44.7080,67.8242,82.0730,101.3863
8,50,50,179.9997,120.1997,119.9997,902,0,26.8497,56.7525,88.1670,0.1152,25.3964,28.4313,50.1430,64.6910,78.4669,93.2057
9,50,50,174.9997,115.8997,109.9997,859,0,26.5681,57.9171,88.2218,0.1147,24.2845,28.5971,49.1948,69.0111,76.9136,96.3228
10,50,50,159.9997,118.1997,114.9997,882,0,26.3620,59.0994,88.3405,0.1143,23.9596,28.2895,51.0541,68.0500,82.3975,91.7237
11,50,50,179.9997,118.5997,114.9997,886,0,26.5030,58.9597,88.4445,0.1149,24.5959,28.1179,51.3036,65.1718,76.3818,98.4653
12,50,50,164.9997,125.0997,122.4997,951,0,26.4720,59.7977,88.1266,0.1144,25.5122,27.1321,54.4442,70.1188,71.3353,95.3771
13,50,50,164.9997,121.7997,119.9997,918,0,26.4699,59.2398,89.0895,0.1142,24.5781,27.9163,50.7182,70.1890,80.3529,98.5498
14,50,50,174.9997,113.5997,109.9997,836,0,26.5360,60.4641,88.3573,0.1141,25.6311,28.4980,52.7222,67.8401,82.0631,93.0728
15,50,50,164.9997,111.8997,107.4997,819,0,26.5242,59.7547,88.4856,0.1126,24.8866,28.7483,45.5103,70.3476,80.7281,97.7206
16,50,50,194.9997,117.4997,114.9997,875,0,26.7587,61.3878,87.9072,0.1130,24.5817,28.5916,56.4217,69.1124,81.0079,94.8669
17,50,50,164.9997,115.4997,109.9997,855,0,26.6825,61.4957,87.5853,0.1128,25.1922,28.5206,51.9623,70.5738,79.8857,95.8179
18,50,50,164.9997,116.5997,114.9997,866,0,26.6241,61.1952,87.2948,0.1137,24.8298,28.6883,55.1995,66.1318,80.3516,89.8415
19,50,50,159.9997,122.5997,124.9997,926,0,26.8126,62.1627,87.2746,0.1145,25.7803,28.8003,55.6994,71.5020,77.5655,96.0115
20,50,50,174.9997,124.4997,124.9997,945,0,26.7686,61.1148,86.9656,0.1149,25.5454,28.1212,49.3687,67.3691,77.6369,96.1986
21,50,50,164.9997,126.5997,124.9997,966,0,26.7112,62.0408,86.5749,0.1161,25.1014,28.2998,58.1069,72.1947,81.7841,94.5317
22,50,50,169.9997,131.6997,129.9997,1017,0,26.8202,62.1885,86.8065,0.1161,25.1194,28.4289,52.1794,75.8615,78.4664,98.7474
23,50,50,159.9997,125.9997,127.4997,960,0,26.8978,62.9033,86.4093,0.1156,25.1023,28.6463,50.6257,75.8615,75.5233,93.9542
24,50,50,169.9997,119.5997,119.9997,896,0,26.9654,64.3203,86.3611,0.1158,25.6913,28.6463,59.5194,72.8556,77.0265,95.8843
25,50,50,169.9997,122.3997,117.4997,924,0,27.0751,64.8139,86.8207,0.1154,25.3093,28.9644,58.2656,74.4283,76.7205,94.4272
26,50,50,184.9997,121.9997,119.9997,920,0,27.0032,64.7964,87.9756,0.1144,25.4700,28.2710,55.2744,72.4173,80.9306,97.2545
27,50,50,164.9997,126.6997,124.9997,967,0,26.9439,66.0085,87.9294,0.1143,24.8684,29.6974,52.3784,78.9272,78.5141,98.2098
28,50,50,174.9997,126.1997,122.4997,962,0,26.8230,65.6520,88.2076,0.1149,25.3445,28.5764,58.1162,75.4300,79.7344,97.3485
29,50,50,219.9997,130.1997,129.9997,1002,0,26.9497,65.9811,88.3659,0.1146,24.4965,28.5764,55.6516,74.3516,82.2219,97.9902
30,50,50,159.9997,122.9997,124.9997,930,0,26.9389,66.4171,87.3614,0.1137,24.4965,28.4694,57.0963,74.3516,80.0332,91.4236
