generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,217.0164,28.1793,7.1000,130,46,18.9742,45.3908,103.9961,0.1015,10.0786,29.6701,3.4154,101.7807,51.4926,146.4422
2,50,6,169.9997,28.9566,8.0833,143,43,24.4522,52.4775,97.9312,0.1054,16.0003,29.3460,4.1122,101.7807,71.1801,146.1174
3,50,24,154.9997,67.9665,73.5081,453,24,26.9378,50.0109,98.1313,0.1128,22.0185,30.0000,12.2092,84.6741,76.1038,114.2481
4,50,46,174.9997,115.3667,124.9997,864,4,27.4425,51.7676,94.0723,0.1106,24.5501,29.2879,35.0520,78.3019,73.6670,109.0704
5,50,50,199.9997,129.5997,124.9997,996,0,27.5863,54.8966,96.5474,0.1123,25.3507,30.0000,42.5928,71.0497,84.6065,104.3283
6,50,50,179.9997,129.7997,127.4997,998,0,27.7075,55.1485,97.3682,0.1123,25.6551,29.6476,42.0882,65.7161,84.6199,107.1310
7,50,50,184.9997,131.2997,129.9997,1013,0,27.8167,56.2228,96.5908,0.1119,26.0575,29.6319,42.4683,62.5358,89.5911,101.8949
8,50,50,179.9997,130.7997,129.9997,1008,0,27.9038,56.7581,97.6513,0.1104,26.1129,28.9212,48.3186,65.8810,91.1739,107.3058
9,50,50,199.9997,127.8997,124.9997,979,0,28.0036,57.3746,97.7002,0.1106,26.3899,29.3636,47.2685,67.2441,89.0361,103.6906
10,50,50,189.9997,136.0997,134.9997,1061,0,28.0577,57.3408,96.7995,0.1104,26.8567,29.8242,47.1627,69.3917,90.2089,101.5094
11,50,50,174.9997,132.3996,124.9997,1024,0,28.0306,57.5687,96.8112,0.1111,27.3851,29.6851,42.6523,64.3464,90.6803,105.7974
12,50,50,179.9997,134.7997,134.9997,1048,0,28.0013,58.5905,97.7744,0.1106,27.4476,29.5012,49.4985,70.2761,95.3053,111.0057
13,50,50,179.9997,128.6997,127.4997,987,0,28.2233,58.9459,97.8261,0.1110,25.9737,30.0000,51.7386,69.3738,90.3537,106.2445
14,50,50,189.9997,133.2997,129.9997,1033,0,28.1791,59.8741,97.7102,0.1120,26.6563,29.0656,52.7286,70.0422,84.9720,109.2202
15,50,50,174.9997,135.6996,134.9997,1057,0,28.2009,59.1322,97.9924,0.1131,26.8244,29.0493,47.9290,66.0757,94.3732,105.8434
16,50,50,184.9997,129.9997,129.9997,1000,0,27.9780,59.6038,97.9646,0.1131,26.3905,29.9581,50.0176,68.8830,90.5891,107.2105
17,50,49,204.9997,123.9053,119.9997,940,0,27.9659,58.5903,97.6795,0.1129,27.0216,29.5063,51.5624,65.6818,88.8328,104.4302
18,50,50,179.9997,131.5997,129.9997,1016,0,28.1368,58.8145,97.7061,0.1134,26.5813,30.0000,53.2113,69.5103,90.7356,107.7856
19,50,50,199.9997,142.6996,142.4997,1127,0,28.5108,60.2863,97.7279,0.1131,26.7830,30.0000,55.1223,69.3434,90.9683,108.3284
20,50,50,204.9997,132.6996,129.9997,1027,0,28.4660,60.6591,98.2010,0.1143,25.5128,29.9669,56.9703,71.3254,88.0293,107.2112
21,50,50,179.9997,142.2997,139.9997,1123,0,28.5644,61.4256,99.0445,0.1143,26.3979,30.0000,54.2485,70.5873,92.8923,109.5275
22,50,50,184.9997,139.9996,134.9997,1100,0,28.5151,62.0383,99.4340,0.1140,26.4506,29.9326,56.6831,70.5796,91.7171,108.7715
23,50,50,204.9997,136.4997,134.9997,1065,0,28.5842,61.6475,98.6473,0.1138,26.5305,29.9756,52.0271,71.9205,91.8770,110.0291
24,50,50,179.9997,137.7997,134.9997,1078,0,28.5454,62.3508,97.7027,0.1147,27.2501,30.0000,51.0510,71.2256,90.8209,105.5269
25,50,50,169.9997,139.8996,139.9997,1099,0,28.6637,62.4444,97.3412,0.1151,27.7997,30.0000,53.6964,69.6258,87.3093,105.9335
26,50,50,219.9997,136.8997,129.9997,1069,0,28.7955,62.8589,98.2256,0.1147,26.9720,30.0000,52.9898,72.3785,93.2638,108.9370
27,50,50,174.9997,139.4996,139.9997,1095,0,28.6427,62.6006,97.6903,0.1149,26.7820,30.0000,55.2483,71.2639,89.6968,105.0171
28,50,50,214.9997,140.1996,134.9997,1102,0,28.7625,62.8458,98.3122,0.1153,27.8713,30.0000,56.1004,70.6681,94.6102,106.1037
29,50,50,189.9997,142.8996,139.9997,1129,0,28.8978,64.0213,97.9609,0.1157,26.6575,30.0000,56.0639,70.8559,87.6948,101.5919
30,50,50,204.9997,145.8996,144.9997,1159,0,28.9481,63.3182,98.1500,0.1169,27.5427,30.0000,54.4848,73.4766,90.1885,106.3461
