generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,6,165.0164,25.9100,9.9333,117,44,18.7319,51.2408,98.9299,0.0939,10.0858,29.4501,7.2210,100.4433,55.4794,149.9131
2,50,13,184.9997,38.7349,8.4333,226,37,24.3932,58.2449,105.2746,0.0958,15.3649,29.5720,12.1594,91.9522,56.9281,147.4206
3,50,40,169.9997,92.8818,104.9997,663,10,25.9427,60.2375,108.8130,0.0933,21.5439,30.0000,34.6693,99.3997,77.5026,138.2555
4,50,50,154.9997,118.9997,122.4997,890,0,27.4753,70.9562,118.6350,0.1043,23.9954,30.0000,53.7017,93.4111,97.3368,132.9895
5,50,50,214.9997,121.6997,119.9997,917,0,28.0479,74.1338,121.0420,0.1063,24.2837,30.0000,59.1819,92.5377,110.3826,131.6780
6,50,50,184.9997,125.3997,124.9997,954,0,28.5095,75.4783,119.5805,0.1047,26.3434,30.0000,59.1819,88.7844,111.2852,125.7677
7,50,50,169.9997,129.9997,129.9997,1000,0,28.3356,75.4352,119.4004,0.1052,27.0264,29.3124,63.2576,87.2621,109.8872,128.8170
8,50,50,179.9997,130.5997,129.9997,1006,0,28.2429,75.0954,118.6370,0.1060,26.7228,30.0000,59.6761,86.5338,113.0954,127.5596
9,50,50,204.9997,127.5997,124.9997,976,0,28.2905,75.7421,120.1865,0.1064,26.9434,29.0314,65.9300,85.4188,114.3059,127.5596
10,50,50,214.9997,134.7997,129.9997,1048,0,28.2969,75.5682,120.1871,0.1062,27.1094,29.7505,66.3159,83.3117,115.3900,124.5335
11,50,50,199.9997,137.3996,139.9997,1074,0,28.3779,75.3154,120.5203,0.1059,26.2958,30.0000,68.0367,80.5415,113.4147,129.9894
12,50,50,184.9997,131.0997,132.4997,1011,0,28.3888,75.1929,120.9912,0.1064,26.0474,30.0000,68.6647,85.1318,111.2435,129.2782
13,50,50,174.9997,133.7997,132.4997,1038,0,28.2714,75.1519,121.8450,0.1064,26.1183,30.0000,68.2647,84.0088,117.0872,127.4929
14,50,50,204.9997,135.9997,132.4997,1060,0,28.5496,75.6151,121.1548,0.1074,26.1168,30.0000,70.8224,80.8577,115.0781,126.0851
15,50,50,179.9997,137.2997,139.9997,1073,0,28.6719,76.8265,121.0918,0.1071,27.3374,30.0000,69.3869,84.8266,112.2323,128.6800
16,50,50,159.9997,123.8997,124.9997,939,0,28.6464,76.5052,120.7700,0.1069,26.3264,29.6508,70.5939,82.3373,112.1345,127.2004
17,50,50,204.9997,134.8996,129.9997,1049,0,28.5892,77.2739,121.3148,0.1061,27.2602,30.0000,71.4885,82.5992,116.9531,130.6935
18,50,50,189.9997,137.7997,134.9997,1078,0,28.6727,77.0206,121.4010,0.1068,27.2309,30.0000,70.4120,81.5508,114.4359,129.2755
19,50,50,209.9997,130.7997,124.9997,1008,0,28.6163,77.4000,121.9815,0.1069,27.9301,30.0000,66.6948,84.1625,113.7146,133.6811
20,50,50,204.9997,134.5997,132.4997,1046,0,28.6345,77.3467,121.1311,0.1078,26.7884,29.8040,70.6593,83.9489,113.7146,130.5707
21,50,50,214.9997,136.7997,129.9997,1068,0,28.6423,77.3385,121.4312,0.1083,26.8856,30.0000,67.9640,86.2679,107.7540,129.0820
22,50,50,194.9997,139.3997,139.9997,1094,0,28.6615,78.5542,120.1441,0.1093,27.7298,29.3427,73.3147,86.6903,113.1286,128.7138
23,50,50,199.9997,142.2996,139.9997,1123,0,28.6269,78.9245,121.0004,0.1093,27.1916,29.8130,75.3469,86.3219,113.0422,130.1498
24,50,50,189.9997,136.5997,139.9997,1066,0,28.5659,78.8273,120.6557,0.1094,26.7917,29.7323,70.8796,86.3219,113.4602,129.7960
25,50,50,194.9997,135.4996,132.4997,1055,0,28.3099,79.7048,120.2463,0.1098,26.4909,29.9076,72.1592,90.1247,112.4980,122.7701
26,50,50,164.9997,132.9997,134.9997,1030,0,28.2644,80.0643,119.6840,0.1093,25.7646,29.6835,71.7567,88.8827,111.7304,124.4548
27,50,50,199.9997,138.0997,129.9997,1081,0,28.2829,79.9051,118.9253,0.1107,26.6930,30.0000,66.2547,87.8874,107.7948,122.9103
28,50,50,204.9997,139.2997,137.4997,1093,0,28.5683,79.6621,118.2417,0.1100,26.4943,30.0000,68.1817,88.3425,109.9835,121.1539
29,50,50,189.9997,134.5997,129.9997,1046,0,28.7683,79.7634,117.6917,0.1108,26.7929,30.0000,72.9588,85.4454,102.8627,123.2291
30,50,50,169.9997,134.7997,137.4997,1048,0,28.4864,79.9093,117.2307,0.1109,26.0272,30.0000,70.6224,88.4973,107.7994,127.6697
