generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,10,165.0164,29.1132,8.4917,113,34,18.9742,45.3908,103.9961,0.1015,10.0786,29.6701,3.4154,101.7807,51.4926,146.4422
2,50,26,134.9997,46.3952,44.9997,218,13,24.5963,52.9538,103.5613,0.1004,17.6625,29.6701,8.8379,101.7807,57.2017,146.1174
3,50,38,109.9997,61.2718,59.9997,329,4,26.4342,56.5178,104.9664,0.1066,23.5107,29.6701,12.1756,94.2990,70.1119,146.1174
4,50,47,149.9997,89.8044,94.9997,604,1,27.3470,65.1699,101.9368,0.1184,24.2852,29.6701,24.0221,85.3244,72.7056,125.0075
5,50,50,174.9997,131.7997,129.9997,1018,0,27.7139,67.7625,99.2800,0.1181,24.5824,30.0000,53.7686,80.8390,83.3396,117.8647
6,50,50,179.9997,134.4997,132.4997,1045,0,27.9175,71.9238,96.9728,0.1219,25.8190,30.0000,59.2328,80.9558,83.7236,106.5865
7,50,50,179.9997,132.8997,129.9997,1029,0,27.8906,73.3019,95.9329,0.1245,26.7938,28.8470,59.0440,87.7456,89.1468,103.2424
8,50,50,174.9997,131.7997,129.9997,1018,0,27.7615,74.5439,96.1718,0.1234,25.6289,28.9371,67.3197,85.1430,88.7695,104.5013
9,50,50,189.9997,135.9997,132.4997,1060,0,27.9511,74.8417,95.7018,0.1239,27.0784,30.0000,68.8391,87.3396,84.7413,100.9858
10,50,50,179.9997,132.0997,129.9997,1021,0,27.8500,73.5198,96.1140,0.1229,26.5429,29.3112,64.2580,81.6403,90.0833,104.6990
11,50,50,199.9997,134.4997,132.4997,1045,0,27.9048,74.6368,95.4368,0.1233,26.6783,29.5771,62.1477,83.5264,86.9430,98.2913
12,50,50,184.9997,135.7997,137.4997,1058,0,27.8857,74.4202,95.7557,0.1231,26.8601,28.6488,65.3535,85.3793,89.3573,98.2913
13,50,50,189.9997,137.2997,137.4997,1073,0,27.9723,74.3058,95.9617,0.1229,25.7538,29.5433,66.2383,80.9762,87.1199,101.7245
14,50,50,189.9997,132.9996,129.9997,1030,0,27.7662,74.4070,96.6027,0.1233,23.8801,28.7049,67.5853,86.3156,87.1590,105.7147
15,50,50,194.9997,127.8997,124.9997,979,0,27.9110,75.0267,97.5111,0.1240,25.7067,29.6834,67.8931,83.1996,85.0499,107.2570
16,50,50,179.9997,129.4997,129.9997,995,0,27.9375,76.7143,96.0554,0.1245,26.5914,29.7081,70.8068,82.1893,86.0391,101.1589
17,50,50,214.9997,138.3996,134.9997,1084,0,27.8375,76.9435,95.8493,0.1247,26.8187,28.8912,70.9259,82.1893,85.8957,101.8774
18,50,50,179.9997,138.8996,134.9997,1089,0,27.8631,77.7535,95.3458,0.1250,25.8704,29.7347,70.7327,84.5802,86.6859,106.2429
19,50,50,199.9997,141.5997,134.9997,1116,0,27.9586,78.7900,96.1811,0.1252,26.1404,29.4286,70.0108,87.2114,89.2391,106.0322
20,50,50,184.9997,137.1996,137.4997,1072,0,27.8703,79.4483,96.1694,0.1269,26.1591,29.4399,76.7870,85.8958,87.2581,108.6009
21,50,50,199.9997,137.6996,134.9997,1077,0,27.6132,79.4324,95.5655,0.1260,25.5142,29.3445,75.1558,87.1212,87.0085,106.7087
22,50,50,199.9997,142.8996,139.9997,1129,0,27.6708,79.5342,95.3323,0.1256,25.5440,28.2469,71.6742,85.4215,86.7279,106.8386
23,50,50,189.9997,138.5997,134.9997,1086,0,27.8061,80.1574,95.7235,0.1249,26.6419,29.6556,71.8883,89.3085,86.5579,106.8386
24,50,50,214.9997,139.8996,134.9997,1099,0,27.8497,79.1283,95.5028,0.1248,25.9222,29.2576,70.0486,87.7362,83.7337,105.6561
25,50,50,189.9997,143.0997,144.9997,1131,0,27.8587,79.4147,96.0791,0.1254,26.2068,29.4375,72.6304,87.4429,88.4084,104.8545
26,50,50,219.9997,141.2997,134.9997,1113,0,27.5639,79.9543,95.7021,0.1249,25.4586,28.8761,71.9500,88.6686,92.0462,103.9610
27,50,50,199.9997,140.5997,139.9997,1106,0,27.8512,79.9780,95.7390,0.1257,27.2047,29.8591,72.7619,87.1996,88.2300,103.5082
28,50,50,199.9997,137.2997,134.9997,1073,0,28.0889,80.5568,95.7493,0.1253,26.3160,29.1721,70.6822,88.3604,85.0268,106.7864
29,50,50,244.9997,144.3996,139.9997,1144,0,27.9501,80.6775,96.1728,0.1246,25.9401,29.8446,66.9845,88.4729,85.9565,108.3903
30,50,50,194.9997,137.4996,134.9997,1075,0,27.9398,79.8670,95.4789,0.1247,26.3783,30.0000,71.1969,91.2310,84.8380,102.3572
