generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,10,150.0164,28.2839,8.5000,108,37,18.7319,51.2408,98.9299,0.0939,10.0858,29.4501,7.2210,100.4433,55.4794,149.9131
2,50,28,99.9997,43.0598,49.9997,193,14,24.8228,52.8777,104.1024,0.0929,17.5957,29.3021,13.7264,87.1132,67.0535,144.0843
3,50,46,134.9997,77.7497,74.9997,484,1,26.5781,55.6842,113.0760,0.0932,21.8992,29.4961,32.1175,80.7151,80.2397,141.1699
4,50,50,194.9997,118.3997,114.9997,884,0,27.1823,60.2102,113.8095,0.0960,25.0919,29.6387,40.4848,77.1289,95.1328,139.7368
5,50,50,159.9997,118.7997,119.9997,888,0,27.3493,65.1714,114.0355,0.0987,24.3620,30.0000,47.5168,77.1289,96.8078,136.8814
6,50,50,179.9997,122.4997,124.9997,925,0,27.3531,65.9521,114.3038,0.0987,25.0266,30.0000,54.6709,75.7938,96.3399,125.9406
7,50,50,169.9997,125.3997,119.9997,954,0,27.4081,67.7830,112.5284,0.0976,25.5694,30.0000,60.7928,81.8184,100.1225,124.6460
8,50,50,174.9997,117.9997,119.9997,880,0,27.3206,68.4874,112.7003,0.0974,25.8500,30.0000,58.6344,80.3575,105.2654,120.6631
9,50,50,204.9997,125.1997,119.9997,952,0,27.3184,69.5530,113.1473,0.0973,25.3652,30.0000,57.4650,79.4523,102.9569,122.6090
10,50,50,169.9997,123.4997,124.9997,935,0,27.3840,69.3911,113.9914,0.0978,25.4763,28.7833,58.0905,79.6241,106.5275,119.8366
11,50,50,179.9997,125.4997,119.9997,955,0,27.3159,70.1113,112.8977,0.0976,25.8174,28.1946,58.0159,81.4304,102.9173,120.4738
12,50,50,169.9997,122.7997,119.9997,928,0,27.4257,68.6947,113.8970,0.0976,25.4564,29.1845,56.2862,74.5371,103.6604,122.2909
13,50,50,174.9997,126.3997,122.4997,964,0,27.3178,69.5764,113.8858,0.0969,25.4926,28.5400,60.6333,78.1098,109.2601,120.6536
14,50,50,169.9997,122.3997,119.9997,924,0,27.0914,69.9873,113.7036,0.0973,25.5270,28.9074,61.7153,78.4758,104.6566,123.5046
15,50,50,184.9997,127.3997,119.9997,974,0,27.1647,69.7463,113.5759,0.0979,25.1647,28.5400,62.1324,75.7730,102.2595,120.3757
16,50,50,184.9997,129.4997,127.4997,995,0,27.3866,69.6109,113.3404,0.0982,25.7112,29.2194,61.1748,77.1595,102.5075,120.1333
17,50,50,184.9997,127.0997,124.9997,971,0,27.4361,69.0950,111.8815,0.0984,25.7787,28.5803,61.2467,76.5127,103.7188,115.6003
18,50,50,174.9997,120.0997,114.9997,901,0,27.5841,69.0933,112.0540,0.0988,26.0097,29.2724,58.8318,77.6992,105.3383,118.6031
19,50,50,179.9997,121.5997,119.9997,916,0,27.7240,69.7214,112.4713,0.0995,25.9121,28.9138,63.2434,78.5813,106.5096,122.0623
20,50,50,184.9997,130.3997,129.9997,1004,0,27.7965,69.6498,112.2091,0.0999,26.5446,30.0000,61.0071,81.4706,100.4498,120.7558
21,50,50,209.9997,123.3997,119.9997,934,0,27.9584,68.0847,112.5626,0.1005,26.9566,30.0000,58.9159,75.3122,102.9807,120.8634
22,50,50,194.9997,135.7997,134.9997,1058,0,27.9970,68.5326,112.7112,0.1002,26.6926,29.6890,61.3851,78.4513,104.4183,116.1799
23,50,50,174.9997,130.1997,127.4997,1002,0,28.1497,69.6464,112.6442,0.1004,25.9650,29.3168,59.0101,77.4366,102.4470,123.6014
24,50,50,189.9997,137.1996,137.4997,1072,0,28.4495,70.2193,112.5817,0.1004,26.5889,29.6306,57.3468,74.5807,101.0510,121.2418
25,50,50,169.9997,128.0997,129.9997,981,0,28.5862,70.6623,111.1559,0.0994,27.0762,30.0000,63.0216,75.1994,99.2691,121.5201
26,50,50,189.9997,136.2997,137.4997,1063,0,28.6687,70.8279,112.2925,0.1011,27.1864,29.5390,62.3417,80.4365,102.8486,116.9918
27,50,50,189.9997,132.1997,129.9997,1022,0,28.6144,71.0922,111.6966,0.1015,26.5459,30.0000,61.4939,80.0519,103.9138,115.5988
28,50,50,189.9997,131.4997,129.9997,1015,0,28.6525,70.1734,111.5219,0.1020,27.2933,30.0000,59.2809,76.3088,104.7115,116.8953
29,50,50,169.9997,130.0997,129.9997,1001,0,28.4766,69.9867,111.6013,0.1030,26.9309,29.7015,63.6737,82.2462,102.4502,120.3651
30,50,50,159.9997,120.6997,119.9997,907,0,28.2412,69.2007,111.7312,0.1037,27.2491,30.0000,61.8612,77.0334,105.4613,119.0772
