generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,12,90.0164,29.2232,19.2249,108,31,18.6693,50.0896,95.9215,0.1050,10.0987,29.3073,4.9276,101.5884,51.6678,143.9263
2,50,21,119.9997,41.9928,37.5081,189,19,23.2999,56.0410,101.4372,0.1015,12.9101,29.0410,10.7124,98.6052,50.7107,138.3473
3,50,43,119.9997,69.7274,69.9997,404,2,25.6442,63.9637,106.0275,0.1041,20.7646,28.7872,25.5226,94.3662,72.2504,136.6523
4,50,49,174.9997,112.0793,114.9997,823,0,25.7627,59.5148,98.9375,0.1095,23.2966,28.2618,41.9620,79.3985,72.2504,123.3056
5,50,50,174.9997,125.2997,124.9997,953,0,26.0658,64.5180,98.4327,0.1119,24.4244,27.0947,47.8282,75.1913,81.4416,111.5600
6,50,50,174.9997,121.1997,119.9997,912,0,26.0261,67.5307,99.9735,0.1139,24.4012,27.6666,57.6437,74.6288,88.5266,111.9493
7,50,50,154.9997,123.0997,119.9997,931,0,25.9677,67.5435,99.9756,0.1149,24.0423,27.2844,58.5812,73.3810,90.1481,109.1172
8,50,50,174.9997,123.1997,119.9997,932,0,26.2335,66.0567,98.3726,0.1142,25.2053,28.1468,57.3185,74.1587,87.2423,105.9648
9,50,50,169.9997,124.7997,124.9997,948,0,26.2378,66.9690,99.9138,0.1136,24.7359,27.4209,61.6026,76.2999,93.2592,114.9016
10,50,50,164.9997,122.6997,117.4997,927,0,26.1557,68.7611,100.2217,0.1150,25.1677,27.5738,60.2904,81.6111,93.6636,111.2264
11,50,50,174.9997,124.0997,119.9997,941,0,26.0637,69.0593,99.8792,0.1152,24.5694,27.3682,58.7293,76.8223,92.2146,110.3922
12,50,50,194.9997,129.6997,129.9997,997,0,26.0845,70.8570,101.2888,0.1150,24.2241,27.3403,61.2967,79.6826,88.6219,110.3922
13,50,50,174.9997,136.0997,134.9997,1061,0,25.9985,70.5300,101.0660,0.1153,24.2665,26.8462,64.3728,75.3504,92.1504,108.4655
14,50,50,189.9997,122.2997,119.9997,923,0,26.0492,70.8542,100.6367,0.1143,24.3202,27.5898,66.5273,79.9118,92.4457,112.0871
15,50,50,159.9997,126.9997,127.4997,970,0,26.3002,70.8949,102.6171,0.1135,24.1506,28.6162,60.5581,79.1898,95.0670,113.2578
16,50,50,174.9997,120.9997,114.9997,910,0,26.2110,72.1945,103.1460,0.1128,25.1045,28.3838,67.9461,82.3410,94.9231,110.8489
17,50,50,169.9997,126.5997,124.9997,966,0,26.2955,73.2347,102.8567,0.1136,25.3224,27.9436,65.8475,84.3266,94.9231,114.3658
18,50,50,164.9997,128.2997,124.9997,983,0,26.1454,73.3358,103.6644,0.1136,24.0457,27.1256,64.3291,82.2830,89.9560,112.0859
19,50,50,174.9997,127.8997,127.4997,979,0,26.1144,74.1496,102.6376,0.1139,24.6236,28.0639,60.0416,79.1221,92.7730,108.4349
20,50,50,159.9997,124.5997,124.9997,946,0,26.1454,74.8324,102.7551,0.1138,23.8992,27.9431,66.5384,83.3617,94.5601,113.7304
21,50,50,169.9997,126.0997,124.9997,961,0,25.9116,75.6094,102.5566,0.1141,23.1909,28.1845,66.3229,82.1544,92.4079,112.1916
22,50,50,174.9997,133.7997,134.9997,1038,0,25.8819,75.8671,101.1901,0.1144,22.6402,27.9020,69.6030,81.4636,92.7956,106.9768
23,50,50,169.9997,132.4997,134.9997,1025,0,25.6870,77.4814,101.0729,0.1160,23.8804,27.0370,70.4949,87.0207,93.5522,108.4487
24,50,50,194.9997,131.5997,129.9997,1016,0,25.6531,77.8267,100.4261,0.1169,24.7797,26.7127,68.6706,86.0392,91.7624,110.0170
25,50,50,164.9997,123.4997,119.9997,935,0,25.6669,77.1681,101.0132,0.1172,23.3545,27.9455,71.8957,85.8968,91.4567,114.5733
26,50,50,179.9997,126.8997,124.9997,969,0,25.9526,75.9979,100.0852,0.1178,24.1242,27.7332,66.0039,82.7052,92.0163,106.5545
27,50,50,184.9997,132.6997,129.9997,1027,0,26.2007,76.1359,100.4858,0.1185,23.3616,28.8036,68.7802,86.9085,87.7376,106.3793
28,50,50,189.9997,133.0997,129.9997,1031,0,26.1205,74.8246,100.7204,0.1192,24.2251,27.6919,62.3159,82.9503,87.1999,106.3867
29,50,50,174.9997,131.8997,129.9997,1019,0,26.1428,75.7607,100.1363,0.1198,24.8474,28.0566,65.9508,84.4003,83.2272,106.5531
30,50,50,174.9997,130.9997,127.4997,1010,0,25.9968,76.5224,100.3968,0.1208,24.7745,26.7201,65.6446,81.5741,91.0817,108.8122
