generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,6,145.0164,28.7383,8.9500,136,43,18.7730,52.3404,96.9729,0.1022,10.3738,29.7902,7.4030,100.9347,50.5009,143.1037
2,50,5,159.9997,25.2690,8.5750,111,45,22.2101,52.4871,95.9495,0.1107,16.5454,29.4014,11.6111,90.3190,58.6681,138.8029
3,50,7,144.9997,35.5890,10.6583,194,43,24.0881,48.2385,100.9069,0.1078,18.0915,28.1435,28.8613,67.5372,81.7727,122.8059
4,50,34,159.9997,79.0175,94.9997,544,16,25.1348,46.5904,99.8925,0.1075,21.6883,28.1435,35.2055,59.3381,77.3522,121.0671
5,50,50,164.9997,109.7997,109.9997,798,0,26.0585,46.3400,101.6838,0.1051,24.2503,28.1911,36.7988,55.6949,91.4546,121.0671
6,50,50,174.9997,113.5997,109.9997,836,0,26.3477,46.9156,102.4484,0.1033,24.7643,28.7852,38.3049,54.4577,93.3934,118.0764
7,50,50,154.9997,114.0997,114.9997,841,0,26.4425,47.4830,102.8270,0.1029,25.4741,28.3159,41.4924,56.4745,92.7775,112.1145
8,50,50,184.9997,117.0997,114.9997,871,0,26.4536,48.1895,104.1820,0.1019,24.7448,27.1217,40.4908,56.4745,95.9882,113.4161
9,50,50,139.9997,109.8997,109.9997,799,0,26.4585,47.7511,103.8804,0.1018,24.9895,27.8372,42.3001,56.6730,95.6192,115.0830
10,50,50,144.9997,108.0997,109.9997,781,0,26.3956,47.3011,104.6871,0.1005,24.9150,27.4878,37.7913,53.5652,96.9029,114.5204
11,50,50,169.9997,118.9997,117.4997,890,0,26.3982,47.5493,105.5933,0.1013,23.7340,28.4175,38.6599,57.4107,95.5249,117.9609
12,50,50,149.9997,110.1997,109.9997,802,0,26.0098,47.0744,106.0879,0.1019,23.6494,27.2834,38.4688,52.9087,98.3420,111.0953
13,50,50,169.9997,115.5997,114.9997,856,0,26.3263,47.6502,105.4319,0.1033,25.0042,28.4646,42.4807,52.1781,97.0791,116.4606
14,50,50,169.9997,121.1997,119.9997,912,0,26.5268,47.6103,105.0901,0.1034,24.4404,28.4646,38.4483,57.9204,95.2514,113.4536
15,50,50,169.9997,119.3997,119.9997,894,0,26.6730,47.6608,105.6243,0.1030,25.3654,28.8505,40.4619,58.3267,97.4848,116.4888
16,50,50,154.9997,111.9997,109.9997,820,0,26.7442,46.8550,104.8001,0.1048,24.7675,28.2044,37.2037,57.5467,93.3550,113.4814
17,50,50,159.9997,121.5997,124.9997,916,0,26.7598,47.7431,105.6178,0.1056,24.5753,28.1221,36.9000,60.7400,94.9039,113.5367
18,50,50,164.9997,120.5997,117.4997,906,0,26.7651,47.8890,105.4649,0.1063,25.2123,28.8372,40.8462,57.1510,94.3448,113.2758
19,50,50,189.9997,118.0997,114.9997,881,0,26.8129,49.5055,105.3774,0.1064,24.6818,28.7435,41.2467,55.8564,97.0158,112.7572
20,50,50,159.9997,118.5997,114.9997,886,0,27.0284,50.0143,105.3468,0.1047,24.5093,28.5845,43.7732,57.6589,97.0149,114.6693
21,50,50,184.9997,116.9997,112.4997,870,0,26.9298,49.9621,104.8755,0.1045,24.8986,28.5189,42.8159,59.4042,90.9427,114.7607
22,50,50,174.9997,118.6997,114.9997,887,0,27.0957,50.5966,104.5597,0.1051,25.5778,29.8414,47.3397,58.6524,95.8547,118.4182
23,50,50,149.9997,114.3997,114.9997,844,0,26.9539,50.6845,105.1412,0.1057,25.0048,28.8300,48.2097,63.9773,98.0924,113.8762
24,50,50,179.9997,126.2997,124.9997,963,0,27.0445,51.6777,106.1788,0.1051,24.8596,29.1277,39.9619,65.3599,96.0244,114.6593
25,50,50,164.9997,123.0997,119.9997,931,0,27.2798,50.6347,106.0141,0.1045,24.6525,29.1277,40.8909,61.6601,96.2719,111.7373
26,50,50,154.9997,120.4997,119.9997,905,0,27.1389,50.7934,105.4560,0.1049,25.6292,29.0690,41.8143,62.3234,96.7993,113.0203
27,50,50,159.9997,122.3997,119.9997,924,0,26.9494,51.3841,106.3257,0.1055,25.0139,29.0474,43.3541,61.1544,101.7153,116.7074
28,50,50,179.9997,117.6997,117.4997,877,0,26.6233,51.8358,106.1372,0.1052,25.0251,28.3542,41.5780,61.8170,98.1629,115.5993
29,50,50,174.9997,124.6997,122.4997,947,0,26.6264,52.0122,106.3083,0.1070,25.4193,28.3617,41.5368,63.4231,98.7006,115.3705
30,50,50,154.9997,121.0997,122.4997,911,0,26.6173,52.1343,107.0534,0.1071,25.0073,28.3617,42.5628,60.8952,99.7422,113.1564
