generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,9,120.0164,35.3432,23.5000,161,32,18.7730,52.3404,96.9729,0.1022,10.3738,29.7902,7.4030,100.9347,50.5009,143.1037
2,50,11,109.9997,37.8042,27.9499,180,15,23.3494,49.4880,99.4821,0.1041,16.6107,30.0000,13.6319,91.1071,71.1633,134.6235
3,50,23,119.9997,52.6672,54.3331,284,4,24.5188,54.4042,99.5178,0.1061,21.0044,29.3628,32.2595,78.2849,81.9820,124.5669
4,50,24,114.9997,64.2218,64.2081,380,0,24.7529,56.4868,97.3249,0.1083,22.4670,27.2686,38.4571,71.5295,81.9820,117.0915
5,50,34,114.9997,68.5881,77.4997,422,0,24.9110,56.2997,99.4232,0.1077,22.9848,27.1837,41.0992,71.5679,89.3175,109.8512
6,50,24,124.9997,59.3375,60.9831,347,0,25.0576,55.4357,99.4097,0.1085,23.8536,27.7218,45.6671,63.9809,88.4845,105.1303
7,50,32,119.9997,65.3335,74.9997,394,0,24.8970,55.5352,98.7441,0.1106,23.5678,26.4972,48.3748,66.3809,92.4901,111.3651
8,50,33,129.9997,68.7914,69.9997,413,0,24.8184,55.4661,99.9123,0.1097,23.2782,26.4374,47.1218,68.5572,92.4901,113.6768
9,50,28,129.9997,65.5561,64.9997,393,0,24.7658,55.9155,100.4023,0.1091,22.3817,26.0846,46.5258,64.4975,95.6039,113.6768
10,50,26,134.9997,64.7091,62.4997,389,0,24.8766,54.4541,99.4860,0.1097,23.0307,26.0463,43.5782,62.9519,93.1284,108.1911
11,50,35,124.9997,71.0108,68.9664,432,0,24.8763,55.9480,100.0544,0.1098,23.4738,25.5125,48.4388,66.0714,94.1784,107.4541
12,50,37,129.9997,74.7614,75.5331,469,0,24.8379,55.1395,101.1132,0.1095,23.3201,26.5358,46.2519,59.9682,95.1682,109.7691
13,50,33,124.9997,71.2248,74.9997,446,0,24.7553,54.7771,102.3655,0.1098,22.8777,26.0376,45.1515,57.7175,94.0850,109.4294
14,50,38,119.9997,73.4568,79.9997,456,0,24.8962,55.2901,102.9172,0.1098,24.1990,26.3798,46.2818,65.3428,98.1555,110.6929
15,50,35,129.9997,72.1788,74.9997,449,0,24.9303,55.2658,102.6904,0.1094,23.4967,26.1596,51.1862,62.4652,94.2991,110.8753
16,50,32,129.9997,68.9944,69.9997,419,0,24.9467,55.2539,102.9866,0.1100,24.0396,26.1596,45.9109,66.7627,93.8545,114.0187
17,50,36,114.9997,72.5994,74.9997,452,0,24.7475,54.3822,103.7562,0.1101,23.1918,25.9969,45.0031,60.6599,94.2483,120.4826
18,50,37,134.9997,72.1111,74.9997,441,0,24.7974,54.2960,103.4641,0.1100,22.8494,26.9482,46.5961,60.2569,97.0607,108.6158
19,50,39,124.9997,70.8761,74.9997,430,0,24.6840,54.0792,103.4934,0.1097,22.9859,26.1672,47.7299,60.6662,95.1098,114.0369
20,50,32,154.9997,66.6138,69.9997,400,0,24.6267,54.6211,103.5869,0.1095,22.6480,26.2500,43.9480,60.6662,92.3007,119.5433
21,50,32,144.9997,72.8684,71.8247,453,0,24.5996,55.2306,104.9265,0.1097,23.7919,26.8508,47.6548,59.7368,91.8643,116.7600
22,50,35,124.9997,70.8504,79.9997,438,0,24.6120,55.6071,104.2313,0.1087,22.7716,26.5537,49.0340,62.0327,95.7052,111.3424
23,50,34,114.9997,64.8608,69.9997,386,0,24.6366,55.8323,104.2674,0.1082,22.7997,26.0729,44.1401,65.7582,92.5743,110.9225
24,50,35,124.9997,69.1791,69.9997,417,0,24.6750,55.6687,104.1827,0.1083,22.2605,27.1297,43.6970,67.2796,92.7501,114.4134
25,50,28,99.9997,64.0458,67.4997,377,0,24.9278,55.8403,103.5819,0.1085,22.9868,26.4648,47.1678,65.3358,92.3327,112.8928
26,50,35,129.9997,72.3324,69.9997,447,0,24.9430,54.8936,102.5290,0.1098,23.5033,26.2331,44.8745,65.2368,88.8740,111.1754
27,50,33,119.9997,65.9988,72.4997,399,0,24.9137,53.7840,103.8455,0.1089,23.7499,25.8541,42.6111,62.0425,95.1038,109.9553
28,50,32,114.9997,69.0698,69.9997,420,0,25.1207,54.3122,103.4750,0.1089,23.1865,27.0807,47.1381,61.4597,94.6795,110.7979
29,50,38,114.9997,69.9564,74.9997,426,0,25.2870,53.2490,103.7225,0.1085,23.7779,26.3713,44.1820,63.1990,94.7412,113.5874
30,50,35,119.9997,70.8751,69.9997,432,0,25.3787,52.6067,104.2022,0.1087,24.1840,26.6549,44.8543,62.8977,95.0367,112.0074
