generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,6,125.0164,31.6349,17.4417,133,35,18.7319,51.2408,98.9299,0.0939,10.0858,29.4501,7.2210,100.4433,55.4794,149.9131
2,50,9,114.9997,38.3052,36.5000,183,17,24.9584,57.2038,104.4744,0.0925,14.1019,30.0000,10.4898,91.6874,63.5483,144.0843
3,50,33,144.9997,72.5101,74.9997,454,0,26.3650,61.8912,108.9016,0.0985,23.0530,29.1768,31.2110,91.6874,63.5483,142.4230
4,50,33,154.9997,72.3711,69.9997,453,0,25.8992,63.5778,101.3751,0.0947,23.2043,28.6255,44.2452,86.2974,64.2730,131.8513
5,50,37,134.9997,79.3478,84.9997,514,0,26.0541,63.2774,103.7667,0.0918,23.6115,29.6158,47.7913,77.4664,77.0486,119.5853
6,50,35,124.9997,72.5015,79.9997,457,0,26.5990,65.5208,100.8254,0.0913,24.6973,30.0000,57.6526,77.1033,74.8526,116.1679
7,50,27,139.9997,68.5445,67.4997,427,0,26.5639,66.8107,101.3393,0.0902,24.4726,29.9593,58.9886,74.7766,90.4380,111.0450
8,50,40,159.9997,85.8731,79.9997,572,0,26.7900,67.5908,102.9960,0.0901,24.9401,29.7957,59.7363,77.4254,93.6401,110.9169
9,50,36,149.9997,73.8758,79.9997,467,0,27.2318,69.2041,102.7437,0.0876,24.5598,29.4378,62.8280,77.6140,97.4481,109.7211
10,50,38,144.9997,79.3538,79.9997,516,0,26.8556,69.9878,102.4557,0.0873,25.0818,29.0341,64.5559,77.8604,98.6202,106.7772
11,50,27,154.9997,64.4028,64.9997,386,0,26.8238,70.4623,102.3130,0.0860,25.6076,28.0645,60.0603,78.6039,93.1016,111.2789
12,50,37,134.9997,77.6814,79.1331,500,0,26.9075,70.6756,102.3344,0.0846,24.8875,28.6820,63.1447,80.6035,89.5477,111.4024
13,50,39,139.9997,77.5234,79.9997,498,0,26.8840,70.8416,102.3083,0.0846,25.7430,28.5111,63.3103,79.1143,95.4785,106.4754
14,50,40,129.9997,81.7518,79.9997,534,0,26.7082,70.4267,103.4746,0.0847,24.5787,28.5681,59.1186,77.6307,100.4713,110.5731
15,50,30,119.9997,69.1488,74.9997,426,0,26.6802,70.3899,102.7430,0.0848,24.5789,28.4309,59.9737,83.4085,97.4340,110.3402
16,50,41,129.9997,75.0258,79.9997,472,0,26.6114,70.2136,102.4767,0.0841,25.2671,27.9623,60.8823,77.8555,93.9963,109.4683
17,50,39,159.9997,82.3624,89.9997,546,0,26.3784,70.3537,102.5462,0.0844,24.6832,27.3739,61.1484,81.3471,94.5149,114.7733
18,50,38,144.9997,79.0551,84.9997,510,0,26.1316,71.5184,101.9311,0.0839,23.6805,28.6049,60.5822,84.6890,91.5981,109.1310
19,50,30,154.9997,72.7425,73.5414,464,0,26.3747,71.6493,101.1243,0.0832,23.9058,28.6404,66.7314,78.8736,92.8992,106.2225
20,50,41,129.9997,82.9194,84.9997,549,0,26.6221,70.3777,100.9393,0.0829,25.2176,28.2249,60.9520,74.2310,91.3370,110.8386
21,50,23,119.9997,64.1145,66.0247,390,0,26.5263,69.6378,100.0379,0.0829,24.9397,28.6458,59.5413,76.9414,90.3791,107.3041
22,50,36,144.9997,76.7268,79.9997,490,0,26.3842,69.5130,102.1352,0.0829,24.2374,27.7419,63.5922,75.5506,91.9987,111.2913
23,50,34,144.9997,75.6264,74.9997,484,0,26.4840,70.0757,102.6101,0.0840,23.2982,27.8393,62.8443,79.0014,93.4666,111.4157
24,50,31,124.9997,64.8921,69.9997,394,0,26.0972,70.4232,102.4722,0.0849,23.2982,28.0527,62.2544,75.5935,96.9685,108.8093
25,50,30,144.9997,73.6378,74.9997,463,0,26.1627,71.3440,101.8676,0.0858,23.2693,28.2666,66.1753,81.9189,92.0823,106.5489
26,50,39,149.9997,80.2248,79.9997,515,0,26.2010,71.1218,100.3004,0.0849,24.4535,29.0081,61.4365,78.4222,89.8204,106.3570
27,50,43,129.9997,79.1918,79.9997,504,0,26.0788,72.3266,100.0532,0.0845,23.7227,27.4312,65.7914,82.4550,95.0514,106.6984
28,50,42,119.9997,79.0411,79.9997,506,0,26.2426,72.8828,99.3486,0.0852,24.7494,28.5662,64.1163,82.5084,90.9665,106.2702
29,50,41,129.9997,76.6368,77.4997,486,0,26.2460,72.4013,99.6663,0.0844,24.6710,27.8854,61.5971,82.5084,92.8540,109.0439
30,50,32,124.9997,70.8111,69.9997,435,0,26.0840,71.7514,100.9503,0.0847,23.4341,28.3417,65.0302,84.6239,96.8713,109.9258
