generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,225.0164,29.1933,7.0333,139,45,18.7730,52.3404,96.9729,0.1022,10.3738,29.7902,7.4030,100.9347,50.5009,143.1037
2,50,6,184.9997,31.4870,10.1750,169,44,22.5921,55.8050,104.2331,0.1020,13.2081,27.6609,12.6060,101.6777,59.6229,136.9902
3,50,18,194.9997,62.1346,41.5417,412,32,24.6281,56.0619,109.5135,0.0969,19.4375,27.7976,20.1102,81.6870,86.4081,126.0978
4,50,36,164.9997,96.6388,114.9997,717,14,26.2250,60.8718,110.8715,0.0955,21.7184,28.1470,38.7181,86.3121,93.0858,124.2149
5,50,50,189.9997,141.5997,139.9997,1116,0,26.2026,66.0223,111.0574,0.0974,23.3453,28.5092,51.8350,78.1971,99.8547,120.4143
6,50,50,179.9997,134.2997,134.9997,1043,0,26.5347,67.0843,111.8034,0.0979,24.2232,28.2983,55.0538,77.1230,103.0856,118.6521
7,50,50,174.9997,138.6996,134.9997,1087,0,26.3461,67.4278,111.6590,0.0984,24.3167,28.9656,59.0186,76.8455,104.1541,121.7209
8,50,50,179.9997,133.3997,134.9997,1034,0,26.4294,68.1219,112.3479,0.1003,25.3223,28.1330,58.2540,76.0635,107.3962,122.9825
9,50,50,174.9997,127.5997,129.9997,976,0,26.6036,67.5656,111.8697,0.1025,25.9732,27.7991,59.5196,72.7377,103.2690,119.5149
10,50,50,194.9997,139.9996,137.4997,1100,0,26.7577,68.6385,111.3506,0.1031,25.5434,28.4110,60.4323,78.0622,103.6363,120.3475
11,50,50,184.9997,148.4996,147.4997,1185,0,26.8523,68.0014,111.5170,0.1034,24.6185,28.5558,60.0789,73.7279,107.9297,116.7299
12,50,50,189.9997,147.0997,144.9997,1171,0,27.0616,68.1106,111.8586,0.1036,25.3621,28.5232,54.6673,76.7846,104.7225,119.5363
13,50,50,174.9997,142.3996,139.9997,1124,0,27.1586,67.5727,111.7937,0.1036,25.1479,28.1434,56.7357,75.5695,106.6596,120.0521
14,50,50,189.9997,144.0997,139.9997,1141,0,27.1548,67.4785,111.4245,0.1035,25.3874,28.4465,59.7883,82.1697,103.9913,120.6826
15,50,50,184.9997,140.8996,139.9997,1109,0,27.2864,68.6914,111.0064,0.1047,25.7171,28.8021,57.4463,81.7580,103.5734,115.9304
16,50,50,199.9997,144.4996,142.4997,1145,0,27.0794,71.2897,111.5332,0.1047,25.3064,28.4976,61.1938,85.6529,100.6187,120.9822
17,50,50,214.9997,148.6996,149.9997,1187,0,27.2887,72.1048,110.2850,0.1060,25.4536,29.1107,59.0730,82.1275,102.4674,121.6961
18,50,50,199.9997,146.7997,144.9997,1168,0,27.4405,71.0656,111.6199,0.1052,24.8499,29.1735,63.6429,79.0546,104.6565,123.5893
19,50,50,199.9997,147.3996,144.9997,1174,0,27.5989,71.5954,110.7458,0.1048,25.8942,28.4827,63.3554,80.5802,106.7733,117.7533
20,50,50,194.9997,141.0996,134.9997,1111,0,28.0631,71.7581,109.9212,0.1043,27.2955,29.6913,61.0930,78.8150,104.0858,115.2256
21,50,50,189.9997,147.9996,149.9997,1180,0,28.1074,72.3463,110.4891,0.1040,27.5098,30.0000,62.6112,75.9934,106.0441,119.3900
22,50,50,194.9997,152.7996,149.9997,1228,0,28.2101,71.8211,110.1652,0.1036,27.1794,29.9655,63.3273,78.8669,105.4292,113.3370
23,50,50,184.9997,149.8996,149.9997,1199,0,28.3296,71.9576,109.6527,0.1053,26.4266,29.4323,62.9918,84.1329,104.5729,117.1625
24,50,49,239.9997,145.8200,144.9997,1160,0,28.0660,72.7707,110.2256,0.1038,26.3479,28.8853,66.3424,80.9996,103.1473,118.8931
25,50,50,194.9997,150.6996,152.4997,1207,0,28.2375,71.6018,109.9354,0.1045,27.1612,29.5083,67.4573,81.7963,100.7804,116.5106
26,50,50,199.9997,148.1996,144.9997,1182,0,28.2546,72.2458,109.6923,0.1045,26.9076,29.6170,69.1902,79.9933,103.8486,117.1573
27,50,50,209.9997,157.7996,159.9997,1278,0,28.5171,72.0745,110.3102,0.1051,26.8933,29.5949,62.7548,79.5858,105.6825,119.6550
28,50,50,219.9997,153.2996,154.9997,1233,0,28.5722,73.3465,109.5207,0.1053,26.5248,30.0000,62.8716,82.6592,100.0912,115.9006
29,50,50,209.9997,150.3996,147.4997,1204,0,28.8376,72.3632,109.8955,0.1052,27.6347,30.0000,60.4183,82.2834,102.1635,115.1070
30,50,50,199.9997,155.6996,154.9997,1257,0,28.9596,72.7438,109.9075,0.1045,27.1960,30.0000,57.2082,82.2834,100.0457,114.2730
