generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,4,250.0164,29.3370,10.8167,141,45,19.9205,49.0426,101.0862,0.0966,10.0325,29.5934,3.1610,98.7644,51.5889,148.7978
2,50,7,184.9997,31.6670,11.2500,161,43,23.0824,50.3695,100.2854,0.0982,14.6993,30.0000,8.2184,97.7632,52.9588,141.9384
3,50,25,164.9997,62.7539,77.4997,411,25,26.2672,60.2252,101.9519,0.0923,21.8725,30.0000,26.1380,97.7632,79.9271,140.2772
4,50,49,149.9997,111.7057,109.9997,821,1,27.8947,64.9708,94.5722,0.0966,24.5211,30.0000,41.5845,76.7210,80.4652,111.9583
5,50,50,179.9997,116.9997,114.9997,870,0,27.9230,67.3248,94.1016,0.0984,25.6224,29.5606,53.3664,79.6496,76.0663,106.0262
6,50,50,174.9997,106.5997,99.9997,766,0,27.9197,66.5681,94.6376,0.0978,24.5623,29.3772,54.2946,86.5627,84.8177,101.3417
7,50,50,159.9997,119.7997,119.9997,898,0,28.1669,67.2854,95.5747,0.0985,26.2879,29.7871,57.3190,75.8261,89.0217,104.7643
8,50,50,159.9997,122.9997,124.9997,930,0,28.1905,67.6910,96.3679,0.0977,26.2133,29.7271,60.2379,76.4757,86.1829,103.7431
9,50,50,189.9997,123.1997,119.9997,932,0,28.2708,68.7466,96.4183,0.0991,26.3882,29.7383,57.4344,74.7766,86.1829,100.2061
10,50,50,189.9997,115.9997,114.9997,860,0,28.2979,68.4387,95.8351,0.0987,26.1210,29.7383,62.1432,73.4355,87.2327,100.1247
11,50,50,199.9997,123.1997,122.4997,932,0,28.5044,67.7352,95.2795,0.0981,26.8150,30.0000,58.4804,70.5004,80.8643,100.3448
12,50,50,154.9997,113.1997,114.9997,832,0,28.4668,67.8570,94.7911,0.0986,26.8258,29.8236,59.2438,78.2559,87.8385,99.9198
13,50,50,199.9997,130.5997,124.9997,1006,0,28.6572,68.7000,94.9288,0.0985,26.7583,29.6851,60.5040,77.9334,83.4295,99.4395
14,50,50,189.9997,123.9997,124.9997,940,0,28.6516,69.5675,94.4889,0.0984,26.8194,30.0000,65.2086,76.8252,89.0726,102.5053
15,50,50,179.9997,118.6997,119.9997,887,0,28.6451,68.8423,94.8292,0.0986,26.3000,30.0000,58.2256,79.0349,87.7562,100.5601
16,50,50,169.9997,126.3997,124.9997,964,0,28.6267,68.8260,95.9524,0.0980,27.4217,29.3830,54.8490,79.4159,92.6368,102.4445
17,50,50,164.9997,119.0997,119.9997,891,0,28.7705,68.4046,96.4154,0.0983,26.9652,30.0000,62.0225,74.6265,86.9111,100.6972
18,50,50,179.9997,127.6997,124.9997,977,0,28.9006,68.3676,95.8051,0.0967,27.4960,30.0000,60.8354,76.0225,87.3610,103.0620
19,50,50,209.9997,128.8997,127.4997,989,0,29.1451,69.3883,95.8585,0.0973,27.9298,30.0000,58.0855,80.2323,89.5799,100.5829
20,50,50,169.9997,122.5997,127.4997,926,0,29.2429,70.0037,95.7197,0.0971,27.9528,30.0000,66.0148,77.2255,86.1906,104.4491
21,50,50,189.9997,127.1997,127.4997,972,0,29.3064,71.1455,94.9060,0.0964,28.2434,30.0000,66.7326,78.8270,87.8863,99.9595
22,50,50,164.9997,123.3997,122.4997,934,0,29.3145,71.2186,95.5443,0.0974,27.7800,30.0000,58.9305,78.1417,87.2615,105.6470
23,50,50,184.9997,128.0997,129.9997,981,0,29.2540,71.5243,95.5597,0.0977,27.8809,30.0000,65.9267,79.6859,87.2593,103.5561
24,50,50,174.9997,127.2997,124.9997,973,0,29.1586,71.3453,95.5705,0.0979,27.5412,30.0000,65.4335,78.1096,87.3109,101.4394
25,50,50,184.9997,131.5997,129.9997,1016,0,29.2347,70.9115,97.1783,0.0970,26.7068,30.0000,62.4618,81.7297,89.1996,105.5366
26,50,50,169.9997,128.4997,129.9997,985,0,29.3239,72.0276,97.5274,0.0968,27.9417,30.0000,59.3730,83.7710,91.5353,104.9929
27,50,50,189.9997,130.3997,129.9997,1004,0,29.3467,73.9199,97.7749,0.0975,27.5063,30.0000,63.1713,87.9859,84.8582,106.0865
28,50,50,209.9997,130.8997,129.9997,1009,0,29.3371,75.9285,97.6263,0.0980,28.3612,30.0000,64.7049,89.7063,89.6109,107.7712
29,50,50,194.9997,138.1997,137.4997,1082,0,29.3008,76.9254,96.7490,0.0982,27.4905,30.0000,64.8605,86.3611,84.6452,104.4718
30,50,50,194.9997,132.0997,129.9997,1021,0,29.2780,75.3096,96.6912,0.0982,27.8406,30.0000,65.8462,84.6925,86.0152,101.7326
