generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,3,285.0164,29.4303,7.9583,151,47,21.5654,51.1256,110.3130,0.1043,10.7795,29.9581,3.8735,98.8274,55.6470,149.6942
2,50,4,294.9997,41.5483,9.7500,254,46,25.4687,54.1946,106.0259,0.0978,17.8405,30.0000,22.9334,98.8274,63.3485,150.0000
3,50,11,274.9997,59.7606,32.2000,406,39,27.2324,53.9479,104.2430,0.0997,22.7775,30.0000,24.8543,98.8274,64.8763,131.2321
4,50,30,369.9997,124.9008,144.9997,1006,20,28.0998,67.3457,109.2646,0.0966,23.6801,30.0000,32.4206,98.8274,88.8151,131.2321
5,50,47,274.9997,187.0184,189.9997,1577,3,28.8601,76.2959,113.9778,0.0952,26.8182,30.0000,57.2454,98.8274,95.7206,133.0605
6,50,50,294.9997,216.2997,207.4997,1863,0,29.3009,82.5243,118.0616,0.0932,27.7007,30.0000,63.4632,98.8274,103.6145,132.1463
7,50,50,294.9997,216.4997,214.9997,1865,0,29.3614,85.5616,121.0247,0.0920,27.9983,30.0000,75.5506,97.6297,106.6890,128.5039
8,50,50,264.9997,220.0997,217.4997,1901,0,29.4291,87.0686,122.6091,0.0920,27.8144,30.0000,79.9432,91.8174,114.7520,136.1860
9,50,50,294.9997,228.3997,229.9997,1984,0,29.2923,87.8831,123.3773,0.0921,28.1501,30.0000,79.5733,96.1575,117.9604,132.3489
10,50,50,289.9997,224.2997,219.9997,1943,0,29.3678,87.8352,123.0362,0.0920,28.3057,30.0000,83.2746,96.6946,116.2114,131.8902
11,50,50,289.9997,222.0997,219.9997,1921,0,29.4859,88.4390,124.2238,0.0923,27.8576,30.0000,84.5719,97.7282,114.4314,134.4026
12,50,50,289.9997,224.8997,224.9997,1949,0,29.4035,88.3123,123.6122,0.0929,27.8781,30.0000,80.0853,99.6613,116.6743,127.8247
13,50,50,284.9997,221.8997,219.9997,1919,0,29.4655,89.4955,123.9144,0.0929,28.1547,30.0000,84.6004,98.9282,112.8564,134.1195
14,50,50,264.9997,224.7997,224.9997,1948,0,29.3567,91.0751,125.3382,0.0934,27.5489,30.0000,81.0119,98.1550,119.7564,133.8765
15,50,50,294.9997,225.3997,219.9997,1954,0,29.2729,90.7854,125.7353,0.0951,27.9362,30.0000,77.4063,101.1010,122.0026,133.7156
16,50,50,304.9997,226.6997,219.9997,1967,0,29.2011,91.2774,126.0766,0.0958,27.6260,30.0000,80.4257,101.2832,116.4445,133.1056
17,50,50,279.9997,221.2997,214.9997,1913,0,29.1812,92.4993,125.8051,0.0955,28.0397,30.0000,86.0278,100.8729,116.9614,135.9567
18,50,50,289.9997,234.6998,234.9997,2047,0,29.2692,93.8669,126.0935,0.0952,28.6289,30.0000,89.0558,100.3599,117.5669,134.0327
19,50,50,279.9997,225.2997,222.4997,1953,0,29.2884,93.1684,126.7434,0.0945,27.1923,29.8286,81.6712,97.5860,119.8830,136.3128
20,50,50,299.9997,232.6997,227.4997,2027,0,29.2118,93.7250,126.7481,0.0952,27.8839,30.0000,83.9788,101.6295,118.9118,133.0416
21,50,50,274.9997,228.8997,229.9997,1989,0,29.2393,93.8207,126.5935,0.0960,26.9469,30.0000,89.7454,102.0000,118.9118,133.6246
22,50,50,284.9997,228.3997,232.4997,1984,0,29.3171,94.3262,127.6330,0.0961,27.4401,30.0000,86.2750,102.0000,123.7570,136.2911
23,50,50,299.9997,229.2997,224.9997,1993,0,29.3978,93.5723,126.7132,0.0967,28.4531,30.0000,82.8402,102.0000,114.6163,132.5824
24,50,50,309.9997,229.1998,229.9997,1992,0,29.6041,94.9510,126.5050,0.0971,28.6324,30.0000,88.6113,102.0000,117.3402,130.6323
25,50,50,264.9997,226.6997,229.9997,1967,0,29.4780,95.7534,125.2359,0.0981,28.0506,30.0000,85.0132,102.0000,117.8369,130.2796
26,50,50,284.9997,223.9997,224.9997,1940,0,29.4254,94.5955,125.1319,0.0968,28.0940,30.0000,85.6354,99.7265,115.6968,132.7816
27,50,50,264.9997,223.6997,224.9997,1937,0,29.4162,95.0861,124.7324,0.0975,28.0697,30.0000,85.0460,102.0000,116.0097,131.7607
28,50,50,294.9997,230.4997,224.9997,2005,0,29.3976,94.6640,124.7870,0.0979,27.6948,30.0000,86.5511,98.8898,114.6321,133.6003
29,50,50,309.9997,235.8997,234.9997,2059,0,29.3978,93.7871,125.8013,0.0986,27.8701,30.0000,84.0741,102.0000,118.6521,137.3074
30,50,50,324.9997,225.7997,224.9997,1958,0,29.4186,93.7878,125.4879,0.0990,27.6998,30.0000,83.9130,102.0000,115.5368,134.4099
