generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,200.0164,31.9623,6.7333,165,45,18.7730,52.3404,96.9729,0.1022,10.3738,29.7902,7.4030,100.9347,50.5009,143.1037
2,50,5,209.9997,36.8633,6.6834,208,45,23.0897,52.2484,103.5891,0.1025,16.3819,28.6622,12.2266,101.6777,76.0774,136.9902
3,50,25,194.9997,74.6155,88.4164,535,25,25.1742,56.4272,105.0319,0.1000,19.6777,28.1193,32.8565,79.6718,83.4338,121.7729
4,50,46,189.9997,132.6857,139.9997,1042,4,26.2009,64.7260,110.0890,0.0962,24.5229,28.2252,39.7407,79.8219,86.6998,121.7729
5,50,50,204.9997,145.8996,144.9997,1159,0,26.4384,66.4133,110.7474,0.0952,24.7540,27.9658,52.3469,75.9935,101.0905,120.5191
6,50,50,204.9997,155.1996,154.9997,1252,0,26.7171,66.3688,111.6068,0.0946,24.7005,28.8948,54.2199,73.5129,100.5524,119.4336
7,50,50,189.9997,149.0996,152.4997,1191,0,27.2005,67.0526,112.8477,0.0945,25.1138,28.8349,57.4881,77.0098,99.7632,123.6106
8,50,50,194.9997,146.8996,144.9997,1169,0,27.2991,67.6257,110.9227,0.0957,25.5110,28.6332,57.9691,75.5733,101.4468,117.6566
9,50,50,184.9997,149.4996,147.4997,1195,0,27.3696,67.6334,111.4344,0.0944,25.6394,29.0500,60.6701,82.4462,106.5196,119.2773
10,50,50,219.9997,157.5996,154.9997,1276,0,27.1553,67.9371,111.0061,0.0948,24.4108,28.4087,55.2259,76.4544,101.5132,117.8972
11,50,50,204.9997,150.8996,149.9997,1209,0,27.0859,67.8264,110.8536,0.0951,24.7901,29.0450,60.0508,78.8472,100.2524,117.8972
12,50,50,209.9997,156.6996,154.9997,1267,0,27.2101,67.1800,111.3832,0.0953,25.7845,28.7814,55.9206,73.1190,104.5633,121.7670
13,50,50,209.9997,155.5996,154.9997,1256,0,27.0061,66.8263,110.6164,0.0956,25.4780,27.6250,57.3308,78.4332,101.3404,117.1744
14,50,50,229.9997,152.6996,149.9997,1227,0,27.0789,68.2398,111.3276,0.0962,26.0017,28.7581,61.2460,77.6160,99.8232,120.0415
15,50,50,194.9997,151.9996,149.9997,1220,0,27.1054,68.5648,110.8095,0.0959,26.0092,27.9907,61.9180,79.0397,103.8481,121.2368
16,50,50,204.9997,146.6996,142.4997,1167,0,27.1502,67.3585,111.0071,0.0972,25.9203,27.8919,55.8671,73.0313,104.4635,116.4025
17,50,50,219.9997,157.0996,154.9997,1271,0,27.1814,67.7413,110.9856,0.0978,25.3731,28.7994,58.6595,71.7005,102.0886,120.7286
18,50,50,209.9997,157.0996,154.9997,1271,0,27.2119,68.7896,111.1950,0.0985,26.5533,29.0602,63.0118,77.9460,104.1965,118.5550
19,50,50,224.9997,157.8996,154.9997,1279,0,27.2421,69.5107,110.7677,0.0980,26.8594,28.2639,62.4965,76.9697,106.9665,116.5011
20,50,50,214.9997,161.2996,159.9997,1313,0,27.1993,69.8346,111.2334,0.0984,25.6571,28.2912,60.7426,74.8890,101.0266,123.2531
21,50,50,224.9997,162.4996,159.9997,1325,0,27.3240,70.4264,110.8451,0.0984,25.9380,29.1331,62.6046,79.0547,106.3609,114.0862
22,50,50,204.9997,157.4996,154.9997,1275,0,27.3420,71.4119,111.3970,0.0990,25.9045,28.3771,58.8939,76.8381,102.8435,121.3270
23,50,50,244.9997,154.0996,144.9997,1241,0,27.4399,70.8738,111.2381,0.0994,25.7283,29.3325,60.9969,76.2206,101.3198,119.5576
24,50,50,204.9997,156.7996,149.9997,1268,0,27.6741,70.2183,111.3205,0.1005,26.2763,29.3456,58.9231,77.5875,102.1404,119.5576
25,50,50,219.9997,163.2996,154.9997,1333,0,27.7090,71.2594,111.2231,0.1017,26.5250,29.0887,64.8285,83.3960,105.7532,123.2932
26,50,50,254.9997,162.8996,159.9997,1329,0,27.7320,72.3879,110.8420,0.1014,25.5903,29.4216,65.3241,83.1476,104.1560,118.4572
27,50,50,219.9997,158.4996,164.9997,1285,0,27.8593,71.5467,110.8665,0.1019,26.0581,30.0000,64.1244,78.9454,98.2755,120.6900
28,50,50,214.9997,167.7997,159.9997,1378,0,28.0122,72.1263,110.5644,0.1018,26.8324,30.0000,66.9324,78.2242,98.4020,114.1306
29,50,50,224.9997,171.3996,169.9997,1414,0,28.3682,72.5413,111.5013,0.1011,26.0447,30.0000,66.8268,80.7365,102.3386,121.8093
30,50,50,214.9997,165.6996,159.9997,1357,0,28.5467,71.6652,112.1835,0.1024,25.9568,30.0000,62.8460,83.5581,101.4557,123.9730
