generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,12,170.0164,35.5879,13.2167,169,36,18.7730,52.3404,96.9729,0.1022,10.3738,29.7902,7.4030,100.9347,50.5009,143.1037
2,50,26,194.9997,46.0632,49.9997,228,19,22.5155,53.6379,100.3767,0.1047,13.7564,27.6609,13.9800,88.4486,59.6229,137.4972
3,50,47,129.9997,73.4688,77.4997,441,2,24.7842,59.8960,102.4034,0.1012,20.1847,27.6609,39.0646,79.4878,62.9914,135.5344
4,50,49,144.9997,96.6897,99.9997,670,1,25.4973,65.7377,103.5001,0.1021,22.5302,28.6580,44.0777,79.4878,72.2745,125.2982
5,50,50,159.9997,119.3997,119.9997,894,0,25.7023,69.2555,103.4813,0.1016,22.8863,28.1595,54.9615,79.4045,83.0594,121.6031
6,50,50,164.9997,127.5997,127.4997,976,0,25.8920,69.6362,102.9030,0.1036,24.2459,27.4071,60.0481,81.2040,87.1867,114.0750
7,50,50,174.9997,124.4997,124.9997,945,0,26.2138,70.0890,104.4466,0.1020,25.2557,27.7804,59.1590,78.5437,94.9573,114.3854
8,50,50,184.9997,125.5997,119.9997,956,0,26.1174,70.0949,103.7062,0.1028,24.5822,27.6987,58.7207,74.5072,90.4154,110.5165
9,50,50,194.9997,127.7997,129.9997,978,0,26.0195,70.5660,103.0109,0.1036,23.6989,27.9111,61.8205,80.9596,92.2410,108.8119
10,50,50,184.9997,128.2997,124.9997,983,0,26.0574,71.0488,103.1355,0.1034,24.6106,28.1186,62.1372,81.2157,95.3195,110.7411
11,50,50,199.9997,120.8997,117.4997,909,0,26.0232,70.6060,103.1316,0.1032,24.0969,27.8389,60.9694,76.1153,94.7650,112.9145
12,50,50,189.9997,124.0997,122.4997,941,0,25.9242,70.0077,103.3054,0.1031,24.0242,27.5044,60.5340,79.2194,97.1305,112.2651
13,50,50,189.9997,130.1996,124.9997,1002,0,25.9617,69.7266,102.6483,0.1030,24.4858,27.5246,58.4617,77.5567,92.7840,112.0541
14,50,50,164.9997,120.0997,114.9997,901,0,26.0720,70.4552,102.7099,0.1025,24.9477,27.2807,64.7588,77.5812,96.7129,113.5187
15,50,50,184.9997,126.8997,124.9997,969,0,26.2960,71.3151,102.5373,0.1032,24.4274,27.2807,67.2307,79.3774,93.8435,111.8245
16,50,50,169.9997,131.5997,129.9997,1016,0,26.0793,70.6197,101.5724,0.1033,25.1232,26.6048,61.5498,82.9665,92.8040,110.9693
17,50,50,164.9997,127.6997,129.9997,977,0,26.1056,69.0039,102.5667,0.1032,24.2568,27.6905,61.0094,82.8100,97.5646,112.8947
18,50,50,189.9997,120.1997,119.9997,902,0,26.2945,70.1947,102.7914,0.1038,24.3043,28.0899,59.0931,82.8100,93.4114,110.3638
19,50,50,189.9997,134.1997,132.4997,1042,0,26.4117,70.7446,102.6808,0.1027,25.4824,27.3797,59.5424,76.8819,94.8788,108.4356
20,50,50,164.9997,129.0997,129.9997,991,0,26.4682,70.7763,103.2523,0.1021,25.0677,28.0204,61.0648,82.3060,94.7815,113.3733
21,50,50,169.9997,129.7997,127.4997,998,0,26.4972,71.1815,101.8201,0.1022,25.1275,27.6204,60.8228,80.4584,92.9170,109.7615
22,50,50,169.9997,125.4997,119.9997,955,0,26.3618,70.8314,101.0733,0.1010,24.5779,28.2660,62.2018,86.9607,92.9170,109.7874
23,50,50,184.9997,134.3997,129.9997,1044,0,26.7619,70.2311,100.7363,0.1017,25.4022,28.5991,62.4648,74.6872,86.6088,105.7058
24,50,50,184.9997,132.8997,129.9997,1029,0,26.8890,70.1463,98.9566,0.1017,25.1833,29.2111,61.3229,74.0611,86.6088,104.5763
25,50,50,169.9997,124.3997,122.4997,944,0,27.2858,70.1624,99.6303,0.1014,25.3385,28.6728,63.8816,80.3265,90.9894,106.8181
26,50,50,199.9997,138.1996,134.9997,1082,0,27.2906,70.5734,100.4668,0.1014,25.3385,29.0499,62.1862,78.3029,95.2351,106.2932
27,50,50,164.9997,132.0997,132.4997,1021,0,27.4835,70.1241,100.7014,0.1019,25.7863,29.0472,65.2495,79.8301,91.8776,110.0737
28,50,50,169.9997,132.3997,129.9997,1024,0,27.4784,70.1492,100.5899,0.1014,25.6750,28.3544,59.6747,80.6400,95.6383,105.9762
29,50,50,179.9997,134.6996,134.9997,1047,0,27.4131,70.8647,100.7814,0.1015,25.2195,28.8874,66.0490,81.6127,92.6591,109.5760
30,50,50,189.9997,132.4997,129.9997,1025,0,27.5855,70.9847,99.7416,0.1025,26.3302,29.6080,66.3685,81.6127,89.8419,106.5577
