generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,5,183.6997,30.9706,7.8417,148,45,20.7757,47.8158,106.3999,0.0998,10.7645,29.4142,2.2350,95.1572,59.1500,148.0337
2,50,4,274.9997,36.6340,15.3083,197,46,25.2149,45.9567,102.3813,0.0970,11.6717,29.3544,12.0167,83.6463,62.8509,139.9026
3,50,25,289.9997,99.4345,110.4498,740,25,26.2591,46.3053,102.2799,0.0993,22.3413,29.6295,17.9991,73.9730,69.1746,130.7959
4,50,40,249.9997,142.3207,152.4997,1132,10,27.2624,48.7475,103.1955,0.0976,23.6639,29.0422,26.6374,65.6770,84.0895,130.7959
5,50,48,209.9997,158.5273,159.9997,1290,2,27.6483,53.3400,105.4499,0.0951,25.5779,29.5709,40.0633,66.6919,83.4217,125.7557
6,50,50,229.9997,164.1996,154.9997,1342,0,27.8234,55.7857,106.9798,0.0937,26.0461,29.3785,37.8700,67.4961,96.3942,117.9771
7,50,50,209.9997,171.0997,169.9997,1411,0,27.9743,57.0727,107.6143,0.0935,26.9032,29.8570,47.0847,67.6910,100.0598,116.6772
8,50,50,214.9997,168.4996,169.9997,1385,0,28.0127,58.5033,108.1243,0.0932,25.9055,29.1021,48.2426,71.2022,99.0581,117.0678
9,50,50,204.9997,167.8996,169.9997,1379,0,28.1563,60.9874,107.5328,0.0929,26.4753,29.9284,49.4613,71.5263,100.9102,119.2049
10,50,50,209.9997,165.6996,169.9997,1357,0,28.0797,61.1365,106.8099,0.0928,26.0661,28.9768,44.9692,71.7462,102.6053,113.7215
11,50,50,239.9997,181.3997,179.9997,1514,0,28.2490,62.3819,106.6578,0.0931,26.7791,29.7606,52.0482,70.0032,94.6821,116.0542
12,50,50,239.9997,174.7997,169.9997,1448,0,28.2416,62.3893,106.2006,0.0952,26.2695,30.0000,50.8828,71.1505,96.2686,113.3548
13,50,50,229.9997,165.6996,164.9997,1357,0,28.2541,61.7148,106.7658,0.0957,26.5293,29.6296,51.3795,70.8011,99.9439,117.4188
14,50,50,239.9997,175.6996,174.9997,1457,0,28.3342,62.0031,106.7123,0.0959,26.0676,30.0000,57.5895,65.4102,99.8390,114.3332
15,50,50,249.9997,175.9996,169.9997,1460,0,28.4515,62.3962,106.8683,0.0957,26.6329,30.0000,53.0312,72.2151,100.9201,115.7057
16,50,50,229.9997,179.6997,177.4997,1497,0,28.5553,62.2222,106.7790,0.0955,26.5662,30.0000,55.8037,67.1848,94.8816,111.4039
17,50,50,224.9997,177.3996,179.9997,1474,0,28.7469,62.3945,107.1731,0.0947,27.1914,30.0000,56.8446,68.8517,96.7953,113.8882
18,50,50,229.9997,177.9997,174.9997,1480,0,28.8518,62.4251,105.7469,0.0933,28.1827,29.6694,54.2168,70.7563,94.6778,114.0871
19,50,50,234.9997,180.2997,179.9997,1503,0,29.0040,62.6575,106.3245,0.0924,28.3068,30.0000,52.7458,71.6142,98.4392,111.6368
20,50,50,214.9997,178.9997,174.9997,1490,0,29.0740,62.6745,106.6437,0.0929,27.7815,30.0000,55.9643,67.1837,101.0813,115.8610
21,50,50,229.9997,187.0997,189.9997,1571,0,29.1619,62.4564,106.4154,0.0920,27.7451,30.0000,53.4192,71.9809,95.6878,116.1008
22,50,50,229.9997,168.1996,164.9997,1382,0,29.1676,61.6481,105.6192,0.0918,27.0968,30.0000,53.6506,71.6002,88.9398,114.9214
23,50,50,229.9997,183.3997,179.9997,1534,0,29.0723,62.8906,105.0163,0.0916,27.0968,30.0000,51.8519,69.8837,96.7228,111.4238
24,50,50,249.9997,176.3996,179.9997,1464,0,28.9708,64.4938,105.2106,0.0915,27.5039,29.7388,52.9077,77.5816,96.7228,116.2478
25,50,50,229.9997,181.6997,184.9997,1517,0,28.9887,65.4020,104.9034,0.0918,27.0592,30.0000,58.3578,72.1476,98.8468,111.7757
26,50,50,244.9997,183.5997,179.9997,1536,0,28.8717,65.0533,106.0379,0.0918,27.3643,30.0000,59.8982,71.0210,98.9873,114.9811
27,50,50,219.9997,173.3996,172.4997,1434,0,28.8113,65.4168,106.3797,0.0926,27.6519,30.0000,54.5056,73.5822,97.4746,116.6368
28,50,50,239.9997,181.6997,184.9997,1517,0,28.8071,65.4492,106.4802,0.0921,27.1515,30.0000,55.5365,76.9430,99.1349,112.2569
29,50,50,209.9997,172.0997,174.9997,1421,0,28.8833,65.9573,106.8532,0.0931,26.8467,30.0000,57.2607,74.3109,97.9825,114.4995
30,50,50,244.9997,190.3997,189.9997,1604,0,28.8665,67.8665,106.8503,0.0932,26.8467,30.0000,61.1557,84.3023,96.7199,114.6166
