generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean,size_min,size_max,speed_min,speed_max,vision_min,vision_max
1,50,3,200.0164,23.9126,6.0167,99,47,21.5654,51.1255,110.3130,0.1043,10.7795,29.9581,3.8735,98.8274,55.6470,149.6942
2,50,7,159.9997,30.0836,10.3417,148,43,25.1733,52.1487,103.6962,0.1030,16.5690,30.0000,18.4841,98.8274,64.8763,140.8425
3,50,35,149.9997,85.3798,102.4997,601,15,27.4781,54.0970,98.1380,0.1011,22.5251,30.0000,24.8543,78.8197,64.8763,120.7997
4,50,50,164.9997,118.4997,114.9997,885,0,28.0500,59.6113,100.0335,0.1022,25.0228,30.0000,37.1980,82.4117,84.4070,115.7822
5,50,50,204.9997,130.2997,124.9997,1003,0,28.0465,65.4212,102.1048,0.1026,26.6163,29.6748,52.6916,82.4117,89.2452,115.7822
6,50,50,159.9997,117.7997,119.9997,878,0,27.9460,67.0815,101.7840,0.1042,26.4357,29.2671,49.6459,78.2766,92.5557,111.4428
7,50,50,174.9997,132.4997,129.9997,1025,0,27.8555,66.9869,100.2858,0.1038,25.8702,29.6343,57.0695,83.3549,93.7078,106.8296
8,50,50,159.9997,124.1997,124.9997,942,0,28.0742,67.7561,100.3028,0.1041,26.6648,30.0000,56.6824,83.3549,92.0314,106.1577
9,50,50,159.9997,126.6997,124.9997,967,0,28.1174,67.4769,101.0013,0.1043,26.9424,29.7295,57.1936,77.9870,90.8042,109.8367
10,50,50,169.9997,127.2997,129.9997,973,0,28.3168,67.9254,100.7826,0.1044,26.1008,29.3258,59.6994,77.4977,93.6727,107.6924
11,50,50,159.9997,126.3997,124.9997,964,0,28.2292,68.1979,100.6333,0.1043,26.5969,29.2092,61.6428,78.3558,95.6710,105.7100
12,50,50,169.9997,119.8997,117.4997,899,0,28.4713,67.2903,99.9213,0.1053,26.8634,30.0000,59.6504,72.5339,89.9294,112.7975
13,50,50,194.9997,138.2997,134.9997,1083,0,28.5108,67.5441,99.5468,0.1067,27.0887,30.0000,62.2501,74.5022,90.5509,111.8645
14,50,50,164.9997,122.9997,124.9997,930,0,28.4856,68.1174,100.3290,0.1060,27.2453,30.0000,62.8299,78.1739,92.1946,109.1118
15,50,50,164.9997,126.8997,124.9997,969,0,28.5381,68.1179,100.7416,0.1070,27.7082,30.0000,61.9329,77.3929,93.1287,106.7351
16,50,50,169.9997,127.9997,124.9997,980,0,28.4272,68.6334,101.8840,0.1055,26.8259,29.9053,57.8376,79.9275,90.1477,108.6600
17,50,50,159.9997,121.6997,124.9997,917,0,28.3414,68.4022,101.6046,0.1039,27.2883,30.0000,58.8599,78.0914,92.0746,112.1874
18,50,50,174.9997,132.3997,129.9997,1024,0,28.3475,69.7449,101.2695,0.1043,26.6654,29.2719,63.6861,78.2694,94.1145,112.1166
19,50,50,184.9997,124.0997,124.9997,941,0,28.2730,69.4766,101.0198,0.1053,26.1864,29.2696,58.2144,76.8607,95.3539,110.0399
20,50,50,174.9997,129.4997,124.9997,995,0,28.4111,70.3476,100.5084,0.1059,26.4165,30.0000,63.5284,80.0072,93.6158,110.0752
21,50,50,174.9997,128.8997,129.9997,989,0,28.4397,71.3707,100.3677,0.1066,26.5829,30.0000,66.0740,80.0267,92.3928,110.5054
22,50,50,164.9997,125.8997,129.9997,959,0,28.3549,71.0779,100.5111,0.1062,26.7269,30.0000,61.3271,77.2796,91.8245,109.6639
23,50,50,179.9997,122.2997,119.9997,923,0,28.2552,71.2371,100.1408,0.1065,26.2504,29.4952,62.8367,81.8136,91.8245,110.7352
24,50,50,169.9997,125.5997,124.9997,956,0,28.2837,71.0852,100.7852,0.1063,25.6471,30.0000,63.1374,80.0575,93.9297,109.6989
25,50,50,174.9997,124.4997,119.9997,945,0,27.9546,70.7494,102.0367,0.1054,26.3123,29.9083,62.0061,78.9231,90.5721,111.1362
26,50,50,189.9997,128.8997,129.9997,989,0,28.2558,71.1855,101.8058,0.1051,26.4612,29.9228,60.4775,79.8297,90.3609,110.4259
27,50,50,159.9997,128.5997,129.9997,986,0,28.2329,71.6512,102.1995,0.1042,26.6247,29.7052,64.9797,79.4736,94.8542,111.1778
28,50,50,184.9997,131.1997,129.9997,1012,0,28.2671,71.6895,101.3429,0.1033,27.4782,30.0000,65.6239,78.7747,94.8542,112.4588
29,50,50,204.9997,131.9997,124.9997,1020,0,28.1846,71.3327,100.5999,0.1027,26.7131,29.9763,61.5747,78.6119,95.6795,106.4715
30,50,50,179.9997,129.3997,127.4997,994,0,28.3175,72.2877,100.0149,0.1030,26.2963,29.4739,63.6661,80.2842,93.1119,111.6522
